CORPORATE_IDENTIFICATION_NUMBER,COMPANY_NAME,COMPANY_CLASS,COMPANY_CATEGORY,COMPANY_SUB_CATEGORY,DATE_OF_REGISTRATION,AUTHORIZED_CAPITAL,PAIDUP_CAPITAL,COMPANY_STATUS,PRINCIPAL_BUSINESS_ACTIVITY,REGISTERED_OFFICE_ADDRESS,ROC_CODE
L30733DL2022OPC753362,INDUSTRIES LIMITED,Public,Unlimited Company,Non-govt company,21/05/2022,7984362,20118885,Active,MANUFACTURING (CHEMICALS),"A-101, Anna Salai, Adyar, Delhi - 429385",ROC-DELHI
U33047DL2000PLC934280,EDUCATION IMPORTS CAPITAL PRIVATE LIMITED,Public,Company limited by guarantee,Non-govt company,04/06/2000,8965591,12011819,Active,REAL ESTATE ACTIVITIES,"C-303, Anna Salai, Borivali, Delhi - 525661",ROC-DELHI
U35922DL2012PTC829583,INVESTMENTS CONSTRUCTIONS LIMITED,One Person Company,Company limited by guarantee,Non-govt company,21/05/2012,43179932,10448542,Active,RETAIL TRADE,"D-404, Park Street, Adyar, Delhi - 445229",ROC-DELHI
L32561DL2022PTC583966,EXPORTS MANUFACTURING LIMITED,Private,Unlimited Company,State Govt company,13/07/2022,23900918,15300850,Strike Off,COMPUTER PROGRAMMING,"A-101, Park Street, Andheri, Delhi - 414453",ROC-DELHI
U18309DL2012PTC495635,FOODS LIMITED,One Person Company,Unlimited Company,Non-govt company,08/10/2012,1609427,19525353,Amalgamated,ACCOMMODATION AND FOOD SERVICE,"C-303, Anna Salai, Borivali, Delhi - 403080",ROC-DELHI
L87287DL2013PTC621976,ENTERPRISES SERVICES FOODS OPC PRIVATE LIMITED,One Person Company,Unlimited Company,State Govt company,03/11/2013,40584828,22276025,Active,COMPUTER PROGRAMMING,"B-202, Brigade Road, Whitefield, Delhi - 505215",ROC-DELHI
L20690DL2010PTC412792,TECH OPC PRIVATE LIMITED,Private,Unlimited Company,Non-govt company,21/01/2010,42523156,18340268,Dissolved,MANUFACTURING (FOOD PRODUCTS),"D-404, Park Street, Andheri, Delhi - 410231",ROC-DELHI
U27592DL2019PTC532924,CONSTRUCTIONS CHEMICALS INTERNATIONAL LIMITED,Private,Company limited by guarantee,Non-govt company,09/07/2019,27114084,14354995,Dissolved,HUMAN HEALTH AND SOCIAL WORK,"A-101, Brigade Road, Adyar, Delhi - 551917",ROC-DELHI
U54061DL2022PTC245016,INVESTMENTS TECH PRIVATE LIMITED,Public,Company limited by guarantee,State Govt company,24/12/2022,2017454,12384753,Active,MANUFACTURING (CHEMICALS),"E-505, MG Road, Borivali, Delhi - 505575",ROC-DELHI
L39825DL2004PTC749975,CONSTRUCTIONS OPC PRIVATE LIMITED,One Person Company,Unlimited Company,Non-govt company,22/12/2004,37161298,11062364,Active,ACCOMMODATION AND FOOD SERVICE,"A-101, Brigade Road, Satellite, Delhi - 523759",ROC-DELHI
U12230DL2009PLC639545,INVESTMENTS HEALTHCARE ENTERPRISES OPC PRIVATE LIMITED,One Person Company,Company limited by shares,Non-govt company,26/07/2009,28916451,10570037,Active,EDUCATION,"E-505, Park Street, Satellite, Delhi - 420855",ROC-DELHI
L23031DL2020PLC109866,VENTURES OPC PRIVATE LIMITED,Public,Company limited by shares,State Govt company,07/12/2020,335455,22958806,Active,ACCOMMODATION AND FOOD SERVICE,"B-202, Park Street, Whitefield, Delhi - 498390",ROC-DELHI
U56412DL2006PTC929143,DEVELOPERS ENTERPRISES CHEMICALS PRIVATE LIMITED,Public,Company limited by shares,State Govt company,17/01/2006,25859801,11415653,Strike Off,ACCOMMODATION AND FOOD SERVICE,"D-404, Brigade Road, Whitefield, Delhi - 525095",ROC-DELHI
L33305DL2021OPC254175,MANUFACTURING TECHNOLOGIES OPC PRIVATE LIMITED,Private,Company limited by shares,State Govt company,16/10/2021,1380515,24925267,Strike Off,EDUCATION,"A-101, MG Road, Adyar, Delhi - 496035",ROC-DELHI
L87147DL2004PLC361538,TECHNOLOGIES IMPORTS LIMITED,Private,Company limited by shares,State Govt company,29/08/2004,41609860,10111689,Amalgamated,MANUFACTURING (TEXTILES),"C-303, Park Street, Andheri, Delhi - 403265",ROC-DELHI
L65256DL2024PTC983626,CONSTRUCTIONS CORPORATIONS FINANCE OPC PRIVATE LIMITED,Private,Unlimited Company,Non-govt company,22/09/2024,14374803,22592573,Dissolved,CONSTRUCTION,"A-101, Brigade Road, Whitefield, Delhi - 438230",ROC-DELHI
U23800DL2021OPC991230,TECH CONSULTANCY SERVICES LIMITED,Public,Unlimited Company,Non-govt company,12/10/2021,22917080,11115262,Active,FINANCIAL SERVICE ACTIVITIES,"E-505, MG Road, Satellite, Delhi - 488213",ROC-DELHI
L61619DL2013OPC693687,CONSULTANCY CORPORATIONS TEXTILES PRIVATE LIMITED,One Person Company,Company limited by shares,Non-govt company,01/09/2013,46417620,4663296,Strike Off,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,"D-404, Park Street, Andheri, Delhi - 487978",ROC-DELHI
U98172DL2014PTC602604,IMPORTS PRIVATE LIMITED,Public,Company limited by guarantee,Non-govt company,14/10/2014,39756681,21462644,Dissolved,RETAIL TRADE,"D-404, Brigade Road, Adyar, Delhi - 504954",ROC-DELHI
U65115DL2005OPC444325,INTERNATIONAL PRIVATE LIMITED,Public,Company limited by guarantee,State Govt company,26/02/2005,26348479,24715263,Under Liquidation,MANUFACTURING (CHEMICALS),"C-303, Park Street, Andheri, Delhi - 466950",ROC-DELHI
U88885DL2008PLC667101,SYSTEMS DEVELOPERS CONSULTANCY LIMITED,Private,Company limited by guarantee,Non-govt company,29/04/2008,38378385,2972529,Strike Off,CONSTRUCTION,"C-303, Park Street, Borivali, Delhi - 426342",ROC-DELHI
L38042DL2005OPC404472,INDIA LIMITED,Public,Company limited by guarantee,Non-govt company,29/12/2005,41423065,23779536,Active,CONSTRUCTION,"E-505, MG Road, Adyar, Delhi - 523137",ROC-DELHI
U58999DL2009PTC400271,TEXTILES INNOVATIONS LIMITED,Private,Company limited by shares,State Govt company,18/08/2009,7548836,13154603,Amalgamated,REAL ESTATE ACTIVITIES,"E-505, Brigade Road, Adyar, Delhi - 529336",ROC-DELHI
U47872DL2004PTC453920,TECHNOLOGIES INDUSTRIES CONSULTANCY OPC PRIVATE LIMITED,Public,Company limited by guarantee,Non-govt company,23/05/2004,26227130,20632421,Dissolved,ACCOMMODATION AND FOOD SERVICE,"A-101, Anna Salai, Whitefield, Delhi - 442527",ROC-DELHI
L44462DL2019PTC855669,INTERNATIONAL CONSULTANCY GLOBAL OPC PRIVATE LIMITED,One Person Company,Company limited by guarantee,State Govt company,15/03/2019,9705234,4764581,Amalgamated,CONSTRUCTION,"B-202, Anna Salai, Adyar, Delhi - 428915",ROC-DELHI
L97634DL2014OPC605063,CORPORATIONS PRIVATE LIMITED,Public,Unlimited Company,Non-govt company,08/04/2014,47042961,21649819,Under Liquidation,ACCOMMODATION AND FOOD SERVICE,"B-202, Anna Salai, Satellite, Delhi - 554285",ROC-DELHI
L22533DL2016PTC825653,CONSTRUCTIONS PHARMA PRIVATE LIMITED,Public,Unlimited Company,State Govt company,13/07/2016,6277491,14944214,Dissolved,INFORMATION SERVICE ACTIVITIES,"A-101, Brigade Road, Whitefield, Delhi - 527363",ROC-DELHI
L10373DL2012OPC136492,HEALTHCARE TEXTILES VENTURES LIMITED,One Person Company,Company limited by shares,State Govt company,14/08/2012,9284576,14709806,Active,MANUFACTURING (TEXTILES),"E-505, Brigade Road, Satellite, Delhi - 559792",ROC-DELHI
U13426DL2020PLC533379,FINANCE PRIVATE LIMITED,Public,Company limited by shares,State Govt company,10/06/2020,40667086,21509595,Dissolved,COMPUTER PROGRAMMING,"E-505, MG Road, Satellite, Delhi - 461466",ROC-DELHI
U60374DL2007PTC251662,IMPORTS FOODS OPC PRIVATE LIMITED,One Person Company,Company limited by guarantee,Non-govt company,09/10/2007,35257248,3365010,Amalgamated,ACCOMMODATION AND FOOD SERVICE,"D-404, Link Road, Andheri, Delhi - 460337",ROC-DELHI
L79517DL2019PTC625347,FINANCE INTERNATIONAL PRIVATE LIMITED,One Person Company,Company limited by guarantee,State Govt company,07/12/2019,16553799,12096397,Active,ACCOMMODATION AND FOOD SERVICE,"A-101, Park Street, Andheri, Delhi - 417043",ROC-DELHI
L27084DL2011PTC721859,MANUFACTURING INNOVATIONS DEVELOPERS PRIVATE LIMITED,Public,Company limited by guarantee,State Govt company,14/03/2011,16241122,11591881,Active,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,"C-303, Link Road, Adyar, Delhi - 430237",ROC-DELHI
U11979DL2019PLC322729,VENTURES OPC PRIVATE LIMITED,Private,Unlimited Company,Non-govt company,03/11/2019,45502823,9311388,Active,ACCOMMODATION AND FOOD SERVICE,"E-505, Brigade Road, Andheri, Delhi - 465801",ROC-DELHI
L83270DL2010OPC468143,CHEMICALS INDIA TEXTILES PRIVATE LIMITED,One Person Company,Unlimited Company,Non-govt company,06/09/2010,28071654,3070667,Under Liquidation,FINANCIAL SERVICE ACTIVITIES,"A-101, MG Road, Whitefield, Delhi - 495646",ROC-DELHI
U14426DL2022PTC952072,TRADING OPC PRIVATE LIMITED,Public,Company limited by shares,State Govt company,06/12/2022,34260639,24838003,Strike Off,COMPUTER PROGRAMMING,"B-202, Park Street, Andheri, Delhi - 532719",ROC-DELHI
L56003DL2020OPC702499,TEXTILES MANUFACTURING INNOVATIONS OPC PRIVATE LIMITED,Public,Unlimited Company,State Govt company,22/02/2020,33871217,19146453,Strike Off,EDUCATION,"E-505, Park Street, Adyar, Delhi - 472826",ROC-DELHI
L96356DL2019PLC767159,HEALTHCARE GLOBAL DEVELOPERS LIMITED,One Person Company,Unlimited Company,State Govt company,06/02/2019,40008574,21395643,Amalgamated,INFORMATION SERVICE ACTIVITIES,"A-101, Brigade Road, Adyar, Delhi - 541948",ROC-DELHI
L55206DL2024PLC139024,TRADING CAPITAL TEXTILES OPC PRIVATE LIMITED,Public,Unlimited Company,Non-govt company,30/03/2024,30893144,14596534,Dissolved,REAL ESTATE ACTIVITIES,"E-505, MG Road, Andheri, Delhi - 498826",ROC-DELHI
U76760DL2022PTC212433,EDUCATION CHEMICALS VENTURES PRIVATE LIMITED,One Person Company,Unlimited Company,Non-govt company,25/11/2022,13859861,1017798,Amalgamated,COMPUTER PROGRAMMING,"B-202, Park Street, Adyar, Delhi - 473270",ROC-DELHI
U74746DL2017OPC907620,SYSTEMS CHEMICALS LIMITED,Private,Company limited by guarantee,Non-govt company,20/03/2017,35676544,12324959,Strike Off,MANUFACTURING (FOOD PRODUCTS),"E-505, Anna Salai, Andheri, Delhi - 532654",ROC-DELHI
U89679DL2001PLC722378,CHEMICALS FINANCE HEALTHCARE LIMITED,One Person Company,Unlimited Company,Non-govt company,25/07/2001,10575386,24856712,Strike Off,FINANCIAL SERVICE ACTIVITIES,"E-505, MG Road, Whitefield, Delhi - 452034",ROC-DELHI
L75199DL2019PLC604477,CHEMICALS EXPORTS CAPITAL LIMITED,Private,Company limited by shares,State Govt company,16/07/2019,18598099,15648969,Under Liquidation,EDUCATION,"C-303, MG Road, Adyar, Delhi - 497806",ROC-DELHI
L99969DL2006OPC126599,SOLUTIONS INTERNATIONAL TRADING LIMITED,Private,Company limited by guarantee,Non-govt company,24/08/2006,41245141,21837928,Under Liquidation,FINANCIAL SERVICE ACTIVITIES,"C-303, Brigade Road, Satellite, Delhi - 433908",ROC-DELHI
L37512DL2020PTC691014,INDUSTRIES PRIVATE LIMITED,One Person Company,Company limited by guarantee,State Govt company,07/12/2020,7739386,10359312,Strike Off,RETAIL TRADE,"C-303, Park Street, Andheri, Delhi - 435250",ROC-DELHI
L85793DL2003PLC817718,SOLUTIONS DEVELOPERS VENTURES LIMITED,One Person Company,Unlimited Company,Non-govt company,01/01/2003,26118412,4317910,Amalgamated,COMPUTER PROGRAMMING,"E-505, Link Road, Andheri, Delhi - 433324",ROC-DELHI
L65093DL2017PTC580958,HEALTHCARE LIMITED,Public,Company limited by guarantee,Non-govt company,22/12/2017,21856738,22074734,Under Liquidation,CONSTRUCTION,"A-101, Park Street, Borivali, Delhi - 428817",ROC-DELHI
L24465DL2012PLC866279,HEALTHCARE LIMITED,Public,Company limited by guarantee,Non-govt company,12/03/2012,5006439,3202643,Strike Off,COMPUTER PROGRAMMING,"E-505, MG Road, Borivali, Delhi - 400141",ROC-DELHI
U42199DL2017PTC893495,FOODS INDIA TEXTILES LIMITED,Private,Company limited by shares,Non-govt company,11/12/2017,29909203,23285832,Dissolved,INFORMATION SERVICE ACTIVITIES,"B-202, Brigade Road, Satellite, Delhi - 477267",ROC-DELHI
U92968DL2022PTC875472,TECHNOLOGIES EDUCATION PRIVATE LIMITED,Private,Company limited by shares,Non-govt company,11/05/2022,14181097,13494625,Dissolved,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES","A-101, Park Street, Whitefield, Delhi - 439683",ROC-DELHI
U95461DL2007OPC716703,FOODS INDUSTRIES LIMITED,Private,Company limited by shares,Non-govt company,04/09/2007,35561944,17439604,Active,ACCOMMODATION AND FOOD SERVICE,"C-303, MG Road, Adyar, Delhi - 499354",ROC-DELHI
L80163DL2012PLC320524,REALTY TRADING INDUSTRIES OPC PRIVATE LIMITED,One Person Company,Company limited by shares,Non-govt company,19/03/2012,2334657,2393480,Dissolved,EDUCATION,"C-303, Park Street, Whitefield, Delhi - 406241",ROC-DELHI
U36761DL2001OPC599868,CAPITAL PRIVATE LIMITED,Public,Unlimited Company,State Govt company,31/07/2001,47822088,386857,Dissolved,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES","B-202, Park Street, Borivali, Delhi - 413393",ROC-DELHI
L85931DL2024PTC665650,MANUFACTURING LIMITED,Private,Company limited by shares,State Govt company,24/05/2024,18383097,14728211,Dissolved,CONSTRUCTION,"D-404, Anna Salai, Whitefield, Delhi - 485038",ROC-DELHI
U10348DL2020PTC111105,TEXTILES PRIVATE LIMITED,Private,Unlimited Company,Non-govt company,01/01/2020,35556763,18866169,Dissolved,COMPUTER PROGRAMMING,"E-505, Anna Salai, Satellite, Delhi - 506449",ROC-DELHI
U53273DL2001PLC953185,INDIA CAPITAL LIMITED,One Person Company,Company limited by shares,State Govt company,24/08/2001,9764892,16553214,Amalgamated,REAL ESTATE ACTIVITIES,"A-101, Brigade Road, Borivali, Delhi - 488237",ROC-DELHI
U74525DL2017PLC896441,INNOVATIONS SOLUTIONS LIMITED,Public,Company limited by shares,State Govt company,11/03/2017,40028154,11693235,Strike Off,MANUFACTURING (CHEMICALS),"A-101, Link Road, Satellite, Delhi - 474576",ROC-DELHI
U21768DL2010PLC399995,TECH LIMITED,One Person Company,Unlimited Company,Non-govt company,14/12/2010,15482487,14331617,Active,WHOLESALE TRADE,"E-505, Anna Salai, Satellite, Delhi - 491377",ROC-DELHI
U47804DL2023PLC434864,FOODS CHEMICALS OPC PRIVATE LIMITED,Public,Company limited by shares,State Govt company,02/07/2023,11649212,11897216,Active,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES","C-303, Anna Salai, Whitefield, Delhi - 475943",ROC-DELHI
U72341DL2020PTC643273,DEVELOPERS OPC PRIVATE LIMITED,Public,Company limited by guarantee,Non-govt company,03/05/2020,36142097,3195881,Strike Off,MANUFACTURING (CHEMICALS),"D-404, Link Road, Andheri, Delhi - 458636",ROC-DELHI
L57591DL2016PLC164289,REALTY INDUSTRIES PRIVATE LIMITED,Public,Company limited by guarantee,Non-govt company,02/11/2016,10394453,12501277,Active,CONSTRUCTION,"E-505, Park Street, Andheri, Delhi - 509168",ROC-DELHI
L83561DL2012PTC866614,VENTURES CONSULTANCY LIMITED,One Person Company,Company limited by guarantee,Non-govt company,13/12/2012,43505540,14494962,Dissolved,REAL ESTATE ACTIVITIES,"C-303, Brigade Road, Andheri, Delhi - 405525",ROC-DELHI
L94023DL2007PTC623015,CHEMICALS OPC PRIVATE LIMITED,One Person Company,Unlimited Company,Non-govt company,29/07/2007,40053361,4780452,Amalgamated,WHOLESALE TRADE,"E-505, Anna Salai, Adyar, Delhi - 479026",ROC-DELHI
U84653DL2020PTC933572,REALTY PRIVATE LIMITED,One Person Company,Unlimited Company,Non-govt company,22/09/2020,16845276,16896248,Under Liquidation,WHOLESALE TRADE,"B-202, Link Road, Satellite, Delhi - 552959",ROC-DELHI
U88434DL2005PLC246859,VENTURES EDUCATION DEVELOPERS OPC PRIVATE LIMITED,One Person Company,Company limited by guarantee,State Govt company,11/03/2005,11325347,11319883,Active,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES","C-303, Anna Salai, Andheri, Delhi - 416811",ROC-DELHI
U80743DL2008PTC285127,INDIA ENTERPRISES LIMITED,Private,Company limited by guarantee,Non-govt company,28/03/2008,28171390,24386454,Active,MANUFACTURING (CHEMICALS),"B-202, Link Road, Whitefield, Delhi - 498531",ROC-DELHI
U84915DL2022OPC558720,SYSTEMS OPC PRIVATE LIMITED,Private,Unlimited Company,State Govt company,28/06/2022,18836284,14634296,Dissolved,WHOLESALE TRADE,"D-404, Anna Salai, Whitefield, Delhi - 445223",ROC-DELHI
U73705DL2003PLC819410,HEALTHCARE OPC PRIVATE LIMITED,One Person Company,Company limited by shares,Non-govt company,17/02/2003,27222843,10161993,Dissolved,ACCOMMODATION AND FOOD SERVICE,"E-505, Brigade Road, Adyar, Delhi - 441092",ROC-DELHI
L83370DL2004PLC676344,CONSTRUCTIONS EXPORTS TEXTILES PRIVATE LIMITED,Public,Company limited by shares,State Govt company,17/07/2004,13571709,10798574,Dissolved,INFORMATION SERVICE ACTIVITIES,"E-505, Park Street, Satellite, Delhi - 500640",ROC-DELHI
U80600DL2001OPC964507,CORPORATIONS SYSTEMS OPC PRIVATE LIMITED,Private,Company limited by shares,Non-govt company,09/06/2001,23405581,1419571,Under Liquidation,REAL ESTATE ACTIVITIES,"A-101, MG Road, Adyar, Delhi - 535218",ROC-DELHI
L70268DL2024OPC148489,INNOVATIONS PRIVATE LIMITED,Public,Unlimited Company,Non-govt company,03/10/2024,18908679,13293616,Dissolved,FINANCIAL SERVICE ACTIVITIES,"C-303, MG Road, Whitefield, Delhi - 529445",ROC-DELHI
U63888DL2024PTC226521,EDUCATION INDIA LIMITED,One Person Company,Unlimited Company,Non-govt company,04/08/2024,47167158,23617271,Dissolved,COMPUTER PROGRAMMING,"E-505, Anna Salai, Satellite, Delhi - 462166",ROC-DELHI
L97420DL2014PLC816890,SOLUTIONS CONSTRUCTIONS OPC PRIVATE LIMITED,One Person Company,Unlimited Company,Non-govt company,30/12/2014,46807199,6178260,Active,MANUFACTURING (TEXTILES),"E-505, MG Road, Satellite, Delhi - 400348",ROC-DELHI
L31916DL2021PTC406759,TECH SERVICES PRIVATE LIMITED,Private,Company limited by guarantee,State Govt company,27/05/2021,19918675,1362686,Strike Off,REAL ESTATE ACTIVITIES,"A-101, Link Road, Borivali, Delhi - 464277",ROC-DELHI
U95595DL2002PLC141288,TECH LIMITED,Private,Company limited by guarantee,Non-govt company,20/04/2002,11118302,8994822,Dissolved,CONSTRUCTION,"C-303, Park Street, Andheri, Delhi - 502653",ROC-DELHI
L25588DL2011PTC316590,INDIA PRIVATE LIMITED,Public,Company limited by guarantee,State Govt company,07/05/2011,20625387,8035310,Amalgamated,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES","E-505, Park Street, Andheri, Delhi - 537769",ROC-DELHI
L94937DL2018PTC784028,EDUCATION LIMITED,One Person Company,Company limited by guarantee,State Govt company,08/02/2018,31960869,24938892,Active,WHOLESALE TRADE,"D-404, Park Street, Borivali, Delhi - 490319",ROC-DELHI
U93926DL2011OPC707915,GLOBAL ENTERPRISES PRIVATE LIMITED,Public,Company limited by shares,State Govt company,29/04/2011,45941365,7582404,Dissolved,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,"E-505, MG Road, Adyar, Delhi - 429252",ROC-DELHI
U11715DL2018OPC686736,TECH DEVELOPERS OPC PRIVATE LIMITED,One Person Company,Unlimited Company,Non-govt company,05/02/2018,37546196,724122,Dissolved,ACCOMMODATION AND FOOD SERVICE,"C-303, Anna Salai, Adyar, Delhi - 457855",ROC-DELHI
L19308DL2007PLC607417,INNOVATIONS LIMITED,Private,Unlimited Company,State Govt company,27/04/2007,38389061,132398,Under Liquidation,MANUFACTURING (TEXTILES),"C-303, Brigade Road, Andheri, Delhi - 490400",ROC-DELHI
U51669DL2013OPC219653,SERVICES SYSTEMS FINANCE PRIVATE LIMITED,One Person Company,Unlimited Company,Non-govt company,20/06/2013,35725372,816846,Dissolved,COMPUTER PROGRAMMING,"B-202, Brigade Road, Borivali, Delhi - 514339",ROC-DELHI
U44966DL2019PTC954477,MANUFACTURING INNOVATIONS LIMITED,Private,Unlimited Company,State Govt company,13/06/2019,5489019,21378825,Strike Off,FINANCIAL SERVICE ACTIVITIES,"D-404, MG Road, Adyar, Delhi - 521583",ROC-DELHI
U51628DL2019PTC518256,IMPORTS CORPORATIONS LIMITED,Public,Company limited by shares,State Govt company,18/11/2019,5780539,13552219,Amalgamated,REAL ESTATE ACTIVITIES,"D-404, Link Road, Andheri, Delhi - 515706",ROC-DELHI
U43614DL2019PLC353651,SERVICES TRADING ENTERPRISES LIMITED,One Person Company,Company limited by shares,Non-govt company,29/10/2019,20792770,18377635,Strike Off,COMPUTER PROGRAMMING,"A-101, Anna Salai, Whitefield, Delhi - 539477",ROC-DELHI
U29081DL2018PTC903685,PHARMA ENTERPRISES CONSTRUCTIONS LIMITED,One Person Company,Unlimited Company,State Govt company,20/11/2018,27371625,19367397,Active,RETAIL TRADE,"E-505, Brigade Road, Whitefield, Delhi - 420616",ROC-DELHI
L87016DL2004PLC465895,VENTURES PRIVATE LIMITED,Private,Company limited by guarantee,State Govt company,29/10/2004,24265853,13097584,Amalgamated,HUMAN HEALTH AND SOCIAL WORK,"B-202, Anna Salai, Adyar, Delhi - 410219",ROC-DELHI
L88640DL2023OPC522125,ENTERPRISES TRADING LIMITED,Private,Company limited by shares,Non-govt company,10/06/2023,35031806,23919386,Under Liquidation,REAL ESTATE ACTIVITIES,"D-404, Brigade Road, Whitefield, Delhi - 432199",ROC-DELHI
U90753DL2006OPC156253,EXPORTS INDIA OPC PRIVATE LIMITED,Public,Unlimited Company,State Govt company,13/11/2006,2422967,5057318,Active,RETAIL TRADE,"B-202, Park Street, Whitefield, Delhi - 488988",ROC-DELHI
U77538DL2020PLC438168,TEXTILES DEVELOPERS LIMITED,Public,Company limited by shares,Non-govt company,05/11/2020,32280707,23870388,Amalgamated,REAL ESTATE ACTIVITIES,"C-303, Anna Salai, Whitefield, Delhi - 545919",ROC-DELHI
L37569DL2017OPC967995,CHEMICALS IMPORTS VENTURES OPC PRIVATE LIMITED,Public,Unlimited Company,Non-govt company,04/06/2017,5207019,8474114,Under Liquidation,WHOLESALE TRADE,"E-505, MG Road, Andheri, Delhi - 495315",ROC-DELHI
L91384DL2005OPC957415,TECH CONSTRUCTIONS LIMITED,One Person Company,Company limited by shares,Non-govt company,20/09/2005,1290492,6012464,Active,MANUFACTURING (FOOD PRODUCTS),"B-202, MG Road, Borivali, Delhi - 493493",ROC-DELHI
U26536DL2000PTC914664,SOLUTIONS VENTURES OPC PRIVATE LIMITED,Private,Company limited by guarantee,State Govt company,12/08/2000,26253816,2683115,Dissolved,INFORMATION SERVICE ACTIVITIES,"A-101, Anna Salai, Borivali, Delhi - 494952",ROC-DELHI
U21880DL2007PLC926949,GLOBAL LIMITED,Private,Company limited by shares,State Govt company,10/09/2007,36856725,895259,Under Liquidation,ACCOMMODATION AND FOOD SERVICE,"E-505, Brigade Road, Satellite, Delhi - 436904",ROC-DELHI
U19304DL2004OPC663143,TECHNOLOGIES SERVICES SYSTEMS PRIVATE LIMITED,One Person Company,Unlimited Company,Non-govt company,18/05/2004,19333272,3804083,Amalgamated,COMPUTER PROGRAMMING,"A-101, Brigade Road, Satellite, Delhi - 477128",ROC-DELHI
L83414DL2015PLC335851,DEVELOPERS PRIVATE LIMITED,Private,Company limited by guarantee,Non-govt company,29/06/2015,16669078,745734,Dissolved,FINANCIAL SERVICE ACTIVITIES,"A-101, Link Road, Andheri, Delhi - 520662",ROC-DELHI
U51037DL2022OPC450347,EDUCATION MANUFACTURING LIMITED,One Person Company,Company limited by shares,Non-govt company,23/03/2022,42668643,16797308,Active,WHOLESALE TRADE,"D-404, Brigade Road, Whitefield, Delhi - 411835",ROC-DELHI
U33669DL2023PTC539481,FOODS OPC PRIVATE LIMITED,Private,Company limited by shares,State Govt company,19/01/2023,33768516,22036606,Under Liquidation,INFORMATION SERVICE ACTIVITIES,"B-202, Anna Salai, Satellite, Delhi - 520929",ROC-DELHI
L46347DL2021OPC155363,REALTY INTERNATIONAL SYSTEMS OPC PRIVATE LIMITED,Public,Company limited by shares,Non-govt company,07/03/2021,10384085,2589550,Strike Off,COMPUTER PROGRAMMING,"D-404, Link Road, Andheri, Delhi - 409842",ROC-DELHI
L39078DL2021PTC258242,INDUSTRIES TEXTILES PRIVATE LIMITED,Public,Company limited by guarantee,State Govt company,16/05/2021,903264,23963599,Strike Off,HUMAN HEALTH AND SOCIAL WORK,"D-404, Park Street, Adyar, Delhi - 510133",ROC-DELHI
U42308DL2008PLC893062,INNOVATIONS GLOBAL OPC PRIVATE LIMITED,Public,Company limited by shares,State Govt company,14/10/2008,32547451,9489883,Under Liquidation,ACCOMMODATION AND FOOD SERVICE,"D-404, Anna Salai, Satellite, Delhi - 509299",ROC-DELHI
L15319DL2014OPC270719,CORPORATIONS PRIVATE LIMITED,Private,Unlimited Company,Non-govt company,15/04/2014,3475335,21768645,Dissolved,WHOLESALE TRADE,"E-505, Park Street, Andheri, Delhi - 404165",ROC-DELHI
U33016DL2006OPC586077,ENTERPRISES OPC PRIVATE LIMITED,Public,Company limited by guarantee,Non-govt company,19/08/2006,17066110,17521222,Under Liquidation,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES","D-404, Link Road, Andheri, Delhi - 427197",ROC-DELHI
U58142DL2023PLC896428,SERVICES ENTERPRISES CONSULTANCY PRIVATE LIMITED,Public,Unlimited Company,Non-govt company,18/05/2023,33617449,13894112,Active,MANUFACTURING (FOOD PRODUCTS),"E-505, Link Road, Borivali, Delhi - 464998",ROC-DELHI
L60678DL2020OPC140949,PHARMA DEVELOPERS LIMITED,One Person Company,Company limited by guarantee,State Govt company,14/02/2020,4136469,8200343,Dissolved,WHOLESALE TRADE,"A-101, Brigade Road, Adyar, Delhi - 498383",ROC-DELHI
U71944DL2020PLC796787,CONSULTANCY VENTURES CAPITAL LIMITED,Private,Company limited by shares,State Govt company,03/12/2020,22783214,23609470,Strike Off,RETAIL TRADE,"D-404, Link Road, Whitefield, Delhi - 444424",ROC-DELHI
U70179DL2020PLC104929,TECHNOLOGIES TEXTILES LIMITED,Private,Unlimited Company,Non-govt company,17/02/2020,32443388,22435293,Strike Off,COMPUTER PROGRAMMING,"D-404, Anna Salai, Satellite, Delhi - 486537",ROC-DELHI
U59663DL2005OPC752623,CORPORATIONS GLOBAL PHARMA OPC PRIVATE LIMITED,One Person Company,Company limited by guarantee,Non-govt company,04/12/2005,5195009,11787286,Amalgamated,EDUCATION,"E-505, Park Street, Andheri, Delhi - 408332",ROC-DELHI
U18881DL2002PLC712148,TEXTILES SYSTEMS INNOVATIONS LIMITED,Public,Unlimited Company,Non-govt company,10/11/2002,29520025,4175777,Strike Off,CONSTRUCTION,"E-505, MG Road, Whitefield, Delhi - 454057",ROC-DELHI
