CORPORATE_IDENTIFICATION_NUMBER,COMPANY_NAME,COMPANY_CLASS,COMPANY_CATEGORY,COMPANY_SUB_CATEGORY,DATE_OF_REGISTRATION,AUTHORIZED_CAPITAL,PAIDUP_CAPITAL,COMPANY_STATUS,PRINCIPAL_BUSINESS_ACTIVITY,REGISTERED_OFFICE_ADDRESS,ROC_CODE
U70757TN2004OPC463204,EDUCATION LIMITED,Public,Unlimited Company,Non-govt company,19/09/2004,45760441,16573642,Under Liquidation,MANUFACTURING (TEXTILES),"C-303, Park Street, Satellite, Tamil Nadu - 470847",ROC-CHENNAI
L34970TN2019PLC347605,CORPORATIONS OPC PRIVATE LIMITED,Public,Company limited by shares,Non-govt company,22/03/2019,16332948,2347842,Amalgamated,MANUFACTURING (TEXTILES),"B-202, MG Road, Whitefield, Tamil Nadu - 468668",ROC-CHENNAI
U75463TN2013PTC965693,VENTURES OPC PRIVATE LIMITED,Private,Unlimited Company,Non-govt company,02/10/2013,24038960,10825080,Amalgamated,HUMAN HEALTH AND SOCIAL WORK,"B-202, MG Road, Satellite, Tamil Nadu - 550231",ROC-CHENNAI
L51152TN2017PTC595701,INTERNATIONAL TECH INNOVATIONS PRIVATE LIMITED,Private,Company limited by guarantee,State Govt company,04/07/2017,46306404,3959888,Amalgamated,HUMAN HEALTH AND SOCIAL WORK,"C-303, Link Road, Andheri, Tamil Nadu - 500344",ROC-CHENNAI
U48894TN2023OPC170667,TRADING CAPITAL LIMITED,Private,Unlimited Company,State Govt company,17/05/2023,5526701,6567249,Dissolved,COMPUTER PROGRAMMING,"A-101, Link Road, Whitefield, Tamil Nadu - 407173",ROC-CHENNAI
L46481TN2008PLC601289,CHEMICALS DEVELOPERS LIMITED,Public,Company limited by shares,State Govt company,25/10/2008,42338665,2081480,Dissolved,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES","C-303, MG Road, Whitefield, Tamil Nadu - 502983",ROC-CHENNAI
U48650TN2002OPC650657,CONSULTANCY CONSTRUCTIONS LIMITED,One Person Company,Company limited by guarantee,Non-govt company,26/07/2002,39444699,8976608,Amalgamated,EDUCATION,"E-505, Anna Salai, Borivali, Tamil Nadu - 470703",ROC-CHENNAI
L12855TN2008PTC562786,MANUFACTURING CHEMICALS FINANCE OPC PRIVATE LIMITED,One Person Company,Unlimited Company,Non-govt company,04/10/2008,15197758,8461831,Strike Off,COMPUTER PROGRAMMING,"A-101, Brigade Road, Whitefield, Tamil Nadu - 442589",ROC-CHENNAI
U29080TN2005OPC377213,INTERNATIONAL INNOVATIONS LIMITED,Public,Company limited by shares,Non-govt company,24/04/2005,42575132,21851407,Under Liquidation,RETAIL TRADE,"B-202, Link Road, Satellite, Tamil Nadu - 451454",ROC-CHENNAI
L38034TN2013PLC116510,CONSTRUCTIONS LIMITED,Public,Unlimited Company,State Govt company,01/11/2013,14159031,7366520,Under Liquidation,REAL ESTATE ACTIVITIES,"B-202, Link Road, Satellite, Tamil Nadu - 557625",ROC-CHENNAI
L83532TN2001OPC659855,TECHNOLOGIES PRIVATE LIMITED,One Person Company,Company limited by guarantee,Non-govt company,20/01/2001,30364476,6406698,Active,FINANCIAL SERVICE ACTIVITIES,"B-202, MG Road, Andheri, Tamil Nadu - 508576",ROC-CHENNAI
U79245TN2006PLC261172,DEVELOPERS GLOBAL LIMITED,Public,Company limited by shares,Non-govt company,06/07/2006,3809906,23493051,Strike Off,MANUFACTURING (TEXTILES),"A-101, Brigade Road, Whitefield, Tamil Nadu - 501502",ROC-CHENNAI
L84291TN2013OPC845237,VENTURES OPC PRIVATE LIMITED,Public,Company limited by shares,State Govt company,09/04/2013,31025723,2373817,Under Liquidation,INFORMATION SERVICE ACTIVITIES,"C-303, MG Road, Andheri, Tamil Nadu - 442259",ROC-CHENNAI
U33249TN2001PTC443191,CHEMICALS GLOBAL OPC PRIVATE LIMITED,Private,Company limited by guarantee,Non-govt company,05/03/2001,38650685,483709,Under Liquidation,INFORMATION SERVICE ACTIVITIES,"B-202, Brigade Road, Borivali, Tamil Nadu - 541504",ROC-CHENNAI
U37774TN2021PLC780816,VENTURES OPC PRIVATE LIMITED,Private,Company limited by shares,State Govt company,28/01/2021,1137270,15508679,Under Liquidation,REAL ESTATE ACTIVITIES,"E-505, Brigade Road, Adyar, Tamil Nadu - 507339",ROC-CHENNAI
L48028TN2013OPC485641,INDUSTRIES EXPORTS PRIVATE LIMITED,Public,Company limited by shares,State Govt company,18/03/2013,7484775,7935724,Under Liquidation,MANUFACTURING (TEXTILES),"D-404, Brigade Road, Adyar, Tamil Nadu - 412956",ROC-CHENNAI
U69123TN2002PLC940098,FINANCE INNOVATIONS PRIVATE LIMITED,Public,Unlimited Company,State Govt company,24/10/2002,45427775,22571110,Active,COMPUTER PROGRAMMING,"C-303, Park Street, Borivali, Tamil Nadu - 498658",ROC-CHENNAI
U27848TN2009PLC380872,INTERNATIONAL CAPITAL INDIA PRIVATE LIMITED,Public,Unlimited Company,Non-govt company,07/06/2009,3147108,22165129,Dissolved,RETAIL TRADE,"B-202, Park Street, Adyar, Tamil Nadu - 442826",ROC-CHENNAI
U15433TN2006PTC937860,TEXTILES INNOVATIONS FOODS LIMITED,One Person Company,Company limited by guarantee,Non-govt company,30/09/2006,10363084,20920850,Active,CONSTRUCTION,"D-404, Link Road, Whitefield, Tamil Nadu - 430298",ROC-CHENNAI
U86120TN2009PTC519666,PHARMA INDIA OPC PRIVATE LIMITED,One Person Company,Unlimited Company,Non-govt company,03/06/2009,22852333,22681933,Under Liquidation,MANUFACTURING (FOOD PRODUCTS),"E-505, Park Street, Satellite, Tamil Nadu - 455420",ROC-CHENNAI
L38588TN2024PLC145311,VENTURES HEALTHCARE LIMITED,Private,Company limited by guarantee,State Govt company,27/12/2024,46735460,16692767,Active,INFORMATION SERVICE ACTIVITIES,"E-505, Park Street, Adyar, Tamil Nadu - 400656",ROC-CHENNAI
L45605TN2019PTC100432,REALTY ENTERPRISES LIMITED,One Person Company,Company limited by guarantee,State Govt company,24/05/2019,43242253,23316337,Active,CONSTRUCTION,"A-101, Park Street, Satellite, Tamil Nadu - 558154",ROC-CHENNAI
L54002TN2004PLC346720,FOODS TEXTILES PRIVATE LIMITED,Private,Unlimited Company,State Govt company,07/11/2004,31857819,19752550,Strike Off,INFORMATION SERVICE ACTIVITIES,"A-101, Brigade Road, Andheri, Tamil Nadu - 545769",ROC-CHENNAI
U56012TN2022PTC899391,INDUSTRIES INDIA LIMITED,Public,Company limited by shares,Non-govt company,13/11/2022,33062024,23368144,Active,CONSTRUCTION,"A-101, Park Street, Adyar, Tamil Nadu - 474093",ROC-CHENNAI
L63938TN2012PLC976241,CORPORATIONS LIMITED,One Person Company,Unlimited Company,Non-govt company,03/02/2012,33838547,12590711,Strike Off,ACCOMMODATION AND FOOD SERVICE,"B-202, Link Road, Andheri, Tamil Nadu - 524787",ROC-CHENNAI
L85363TN2006OPC311684,PHARMA CHEMICALS LIMITED,One Person Company,Unlimited Company,Non-govt company,27/01/2006,12888898,12528404,Active,REAL ESTATE ACTIVITIES,"A-101, Brigade Road, Andheri, Tamil Nadu - 458292",ROC-CHENNAI
U56166TN2020PTC688866,GLOBAL INVESTMENTS SOLUTIONS PRIVATE LIMITED,Private,Company limited by guarantee,State Govt company,20/09/2020,45725189,2514463,Active,RETAIL TRADE,"D-404, Park Street, Satellite, Tamil Nadu - 419347",ROC-CHENNAI
L62531TN2012PTC931332,GLOBAL INDIA PRIVATE LIMITED,One Person Company,Unlimited Company,State Govt company,09/09/2012,31511089,9552500,Amalgamated,FINANCIAL SERVICE ACTIVITIES,"C-303, Park Street, Andheri, Tamil Nadu - 520075",ROC-CHENNAI
U64966TN2005PLC302257,SERVICES FOODS PRIVATE LIMITED,Public,Company limited by shares,Non-govt company,04/11/2005,42238701,18088557,Active,HUMAN HEALTH AND SOCIAL WORK,"D-404, Brigade Road, Andheri, Tamil Nadu - 450215",ROC-CHENNAI
U21735TN2005PLC395022,CAPITAL INNOVATIONS TECHNOLOGIES LIMITED,Public,Company limited by guarantee,Non-govt company,19/01/2005,21673203,9935140,Amalgamated,RETAIL TRADE,"D-404, Park Street, Satellite, Tamil Nadu - 449049",ROC-CHENNAI
U55343TN2003PLC847550,CHEMICALS OPC PRIVATE LIMITED,One Person Company,Unlimited Company,State Govt company,17/07/2003,3240108,1452565,Active,MANUFACTURING (TEXTILES),"D-404, MG Road, Satellite, Tamil Nadu - 404979",ROC-CHENNAI
L97391TN2002PLC644347,SERVICES OPC PRIVATE LIMITED,Public,Company limited by guarantee,State Govt company,12/03/2002,15588223,5133943,Active,ACCOMMODATION AND FOOD SERVICE,"D-404, Brigade Road, Borivali, Tamil Nadu - 473355",ROC-CHENNAI
L83321TN2016PLC923274,SOLUTIONS OPC PRIVATE LIMITED,Public,Unlimited Company,Non-govt company,22/01/2016,28028294,284935,Dissolved,MANUFACTURING (CHEMICALS),"B-202, Anna Salai, Andheri, Tamil Nadu - 440631",ROC-CHENNAI
U72941TN2003PTC638134,IMPORTS EDUCATION PRIVATE LIMITED,One Person Company,Unlimited Company,State Govt company,28/12/2003,49203269,15840584,Under Liquidation,FINANCIAL SERVICE ACTIVITIES,"B-202, Anna Salai, Andheri, Tamil Nadu - 552836",ROC-CHENNAI
U16152TN2003OPC357875,FOODS IMPORTS REALTY LIMITED,Public,Company limited by guarantee,Non-govt company,17/08/2003,49543060,10884464,Strike Off,ACCOMMODATION AND FOOD SERVICE,"A-101, Brigade Road, Satellite, Tamil Nadu - 401333",ROC-CHENNAI
U15193TN2001PLC716971,SERVICES REALTY PRIVATE LIMITED,Private,Company limited by shares,State Govt company,05/05/2001,13637563,16326639,Strike Off,MANUFACTURING (CHEMICALS),"B-202, Brigade Road, Satellite, Tamil Nadu - 463434",ROC-CHENNAI
L16367TN2019OPC392751,CAPITAL OPC PRIVATE LIMITED,One Person Company,Unlimited Company,Non-govt company,02/02/2019,36080159,2143548,Amalgamated,EDUCATION,"C-303, MG Road, Adyar, Tamil Nadu - 466599",ROC-CHENNAI
L64557TN2010PTC183037,FOODS CONSTRUCTIONS EDUCATION PRIVATE LIMITED,Public,Unlimited Company,State Govt company,17/02/2010,32660474,6861727,Under Liquidation,ACCOMMODATION AND FOOD SERVICE,"B-202, Park Street, Satellite, Tamil Nadu - 496614",ROC-CHENNAI
L19058TN2011PTC900297,TRADING SOLUTIONS OPC PRIVATE LIMITED,Private,Company limited by shares,State Govt company,15/11/2011,8223659,23334765,Under Liquidation,COMPUTER PROGRAMMING,"C-303, MG Road, Whitefield, Tamil Nadu - 491655",ROC-CHENNAI
U15356TN2016OPC700049,CORPORATIONS OPC PRIVATE LIMITED,Private,Company limited by shares,Non-govt company,30/04/2016,14973324,21401737,Active,ACCOMMODATION AND FOOD SERVICE,"A-101, Brigade Road, Andheri, Tamil Nadu - 539364",ROC-CHENNAI
U43090TN2007PLC466769,DEVELOPERS OPC PRIVATE LIMITED,One Person Company,Company limited by guarantee,Non-govt company,17/04/2007,20041829,18071127,Amalgamated,ACCOMMODATION AND FOOD SERVICE,"E-505, Link Road, Whitefield, Tamil Nadu - 557911",ROC-CHENNAI
U38193TN2009PLC271953,IMPORTS PRIVATE LIMITED,Public,Company limited by shares,State Govt company,11/10/2009,818134,7012884,Active,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,"B-202, Anna Salai, Satellite, Tamil Nadu - 548725",ROC-CHENNAI
L44100TN2004OPC298299,FOODS INTERNATIONAL PRIVATE LIMITED,Private,Unlimited Company,Non-govt company,26/09/2004,14307002,3202700,Amalgamated,INFORMATION SERVICE ACTIVITIES,"D-404, Anna Salai, Satellite, Tamil Nadu - 408338",ROC-CHENNAI
L50931TN2024OPC767864,PHARMA OPC PRIVATE LIMITED,One Person Company,Company limited by shares,Non-govt company,30/07/2024,35356829,3484302,Amalgamated,CONSTRUCTION,"D-404, Link Road, Satellite, Tamil Nadu - 409487",ROC-CHENNAI
L43998TN2020PLC152598,CORPORATIONS OPC PRIVATE LIMITED,One Person Company,Company limited by shares,Non-govt company,12/10/2020,48699837,21383016,Under Liquidation,EDUCATION,"E-505, Park Street, Whitefield, Tamil Nadu - 493121",ROC-CHENNAI
U28063TN2015OPC799530,CHEMICALS REALTY DEVELOPERS LIMITED,Public,Company limited by guarantee,State Govt company,20/02/2015,43121614,973369,Amalgamated,CONSTRUCTION,"E-505, Park Street, Borivali, Tamil Nadu - 491159",ROC-CHENNAI
U59746TN2012PLC199061,SYSTEMS MANUFACTURING LIMITED,Private,Unlimited Company,State Govt company,26/10/2012,42064184,9578754,Strike Off,COMPUTER PROGRAMMING,"E-505, Park Street, Whitefield, Tamil Nadu - 558402",ROC-CHENNAI
L35001TN2014PLC345619,TECH INDUSTRIES OPC PRIVATE LIMITED,One Person Company,Company limited by shares,Non-govt company,25/08/2014,49042707,18554577,Dissolved,ACCOMMODATION AND FOOD SERVICE,"B-202, Brigade Road, Borivali, Tamil Nadu - 476682",ROC-CHENNAI
L43042TN2022OPC478260,INNOVATIONS CAPITAL TECHNOLOGIES OPC PRIVATE LIMITED,Private,Company limited by shares,Non-govt company,23/11/2022,31039506,16921536,Amalgamated,HUMAN HEALTH AND SOCIAL WORK,"A-101, Link Road, Borivali, Tamil Nadu - 477891",ROC-CHENNAI
L19112TN2008PLC136507,MANUFACTURING LIMITED,Private,Company limited by guarantee,Non-govt company,15/01/2008,41590412,4634088,Active,EDUCATION,"D-404, Anna Salai, Andheri, Tamil Nadu - 463386",ROC-CHENNAI
L81279TN2015OPC871412,INVESTMENTS ENTERPRISES OPC PRIVATE LIMITED,Public,Company limited by guarantee,Non-govt company,03/03/2015,17989496,15162559,Under Liquidation,ACCOMMODATION AND FOOD SERVICE,"B-202, MG Road, Adyar, Tamil Nadu - 426930",ROC-CHENNAI
L18424TN2021PLC514775,DEVELOPERS SERVICES CONSULTANCY LIMITED,Public,Unlimited Company,Non-govt company,25/12/2021,23246907,11373034,Under Liquidation,RETAIL TRADE,"A-101, Anna Salai, Whitefield, Tamil Nadu - 417708",ROC-CHENNAI
U19133TN2008PLC320048,TECH SYSTEMS PRIVATE LIMITED,Private,Unlimited Company,State Govt company,03/07/2008,32713729,20305164,Under Liquidation,COMPUTER PROGRAMMING,"C-303, Park Street, Satellite, Tamil Nadu - 503157",ROC-CHENNAI
L76365TN2014PTC693031,INDIA INDUSTRIES MANUFACTURING OPC PRIVATE LIMITED,Private,Unlimited Company,Non-govt company,23/08/2014,29614408,20675724,Dissolved,HUMAN HEALTH AND SOCIAL WORK,"A-101, Brigade Road, Satellite, Tamil Nadu - 438105",ROC-CHENNAI
U37883TN2009PLC507641,GLOBAL PHARMA OPC PRIVATE LIMITED,Private,Company limited by shares,State Govt company,07/11/2009,4287465,6817562,Under Liquidation,MANUFACTURING (TEXTILES),"B-202, Park Street, Andheri, Tamil Nadu - 445522",ROC-CHENNAI
L14527TN2002PTC330252,DEVELOPERS INTERNATIONAL OPC PRIVATE LIMITED,Private,Unlimited Company,State Govt company,09/11/2002,43924079,5398685,Strike Off,EDUCATION,"A-101, MG Road, Satellite, Tamil Nadu - 407484",ROC-CHENNAI
L49342TN2015PLC133399,VENTURES IMPORTS DEVELOPERS PRIVATE LIMITED,Private,Unlimited Company,Non-govt company,29/10/2015,2714747,15061685,Active,MANUFACTURING (FOOD PRODUCTS),"D-404, Link Road, Satellite, Tamil Nadu - 408584",ROC-CHENNAI
L17035TN2002PTC250498,PHARMA TECH ENTERPRISES LIMITED,Public,Company limited by guarantee,Non-govt company,27/12/2002,32025406,6187838,Amalgamated,RETAIL TRADE,"C-303, Brigade Road, Adyar, Tamil Nadu - 400362",ROC-CHENNAI
L99597TN2004OPC114381,SOLUTIONS INDIA PHARMA PRIVATE LIMITED,Private,Company limited by guarantee,Non-govt company,15/02/2004,516831,10488739,Dissolved,FINANCIAL SERVICE ACTIVITIES,"B-202, Link Road, Adyar, Tamil Nadu - 527186",ROC-CHENNAI
L88959TN2016OPC302190,CONSULTANCY TEXTILES TECHNOLOGIES PRIVATE LIMITED,Private,Company limited by guarantee,Non-govt company,07/08/2016,45952392,23149000,Under Liquidation,ACCOMMODATION AND FOOD SERVICE,"E-505, Park Street, Adyar, Tamil Nadu - 487626",ROC-CHENNAI
U77685TN2022PTC803148,FINANCE MANUFACTURING IMPORTS PRIVATE LIMITED,One Person Company,Company limited by guarantee,Non-govt company,08/04/2022,44828310,1635100,Strike Off,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES","B-202, MG Road, Whitefield, Tamil Nadu - 470019",ROC-CHENNAI
U94269TN2004PTC889692,FOODS PRIVATE LIMITED,Public,Unlimited Company,State Govt company,16/07/2004,5638014,8830703,Strike Off,COMPUTER PROGRAMMING,"B-202, Anna Salai, Whitefield, Tamil Nadu - 492529",ROC-CHENNAI
L27362TN2011PLC638730,PHARMA OPC PRIVATE LIMITED,Private,Company limited by guarantee,State Govt company,15/10/2011,18441902,2247505,Active,EDUCATION,"A-101, Link Road, Borivali, Tamil Nadu - 509374",ROC-CHENNAI
L24081TN2022OPC545430,PHARMA PRIVATE LIMITED,Private,Unlimited Company,Non-govt company,20/02/2022,25286507,1320500,Dissolved,HUMAN HEALTH AND SOCIAL WORK,"B-202, MG Road, Adyar, Tamil Nadu - 409349",ROC-CHENNAI
U80133TN2001PTC107413,ENTERPRISES LIMITED,Private,Company limited by guarantee,State Govt company,16/03/2001,34352932,18300614,Dissolved,INFORMATION SERVICE ACTIVITIES,"E-505, MG Road, Satellite, Tamil Nadu - 524447",ROC-CHENNAI
L58602TN2003PTC568621,PHARMA OPC PRIVATE LIMITED,One Person Company,Company limited by shares,Non-govt company,14/04/2003,23088626,14780916,Strike Off,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES","D-404, Anna Salai, Borivali, Tamil Nadu - 411899",ROC-CHENNAI
L90400TN2008OPC378236,ENTERPRISES LIMITED,Public,Unlimited Company,Non-govt company,27/09/2008,37905211,15519514,Active,FINANCIAL SERVICE ACTIVITIES,"B-202, Park Street, Borivali, Tamil Nadu - 497904",ROC-CHENNAI
L71419TN2010PLC620267,INVESTMENTS CONSULTANCY OPC PRIVATE LIMITED,Public,Company limited by shares,Non-govt company,15/02/2010,30308045,20401176,Active,INFORMATION SERVICE ACTIVITIES,"C-303, Anna Salai, Satellite, Tamil Nadu - 503988",ROC-CHENNAI
L99032TN2008OPC915395,DEVELOPERS CONSULTANCY INVESTMENTS LIMITED,One Person Company,Company limited by shares,Non-govt company,12/12/2008,8530226,2809214,Active,COMPUTER PROGRAMMING,"B-202, Link Road, Satellite, Tamil Nadu - 461754",ROC-CHENNAI
U24816TN2023PLC171836,INTERNATIONAL TRADING HEALTHCARE OPC PRIVATE LIMITED,Private,Unlimited Company,Non-govt company,27/02/2023,44443147,11002845,Active,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES","E-505, MG Road, Adyar, Tamil Nadu - 404642",ROC-CHENNAI
L31018TN2009PTC851826,CHEMICALS TRADING LIMITED,Public,Company limited by shares,State Govt company,29/07/2009,27177723,5557948,Amalgamated,MANUFACTURING (TEXTILES),"B-202, Anna Salai, Adyar, Tamil Nadu - 559393",ROC-CHENNAI
L77187TN2017PTC173017,TRADING FOODS EXPORTS LIMITED,One Person Company,Company limited by guarantee,State Govt company,04/03/2017,40130860,2582899,Amalgamated,FINANCIAL SERVICE ACTIVITIES,"A-101, Link Road, Andheri, Tamil Nadu - 440329",ROC-CHENNAI
L44610TN2017PLC186303,INDUSTRIES PRIVATE LIMITED,Public,Unlimited Company,State Govt company,10/08/2017,49595544,12735776,Strike Off,COMPUTER PROGRAMMING,"D-404, Park Street, Borivali, Tamil Nadu - 429554",ROC-CHENNAI
U61201TN2002PTC732065,ENTERPRISES CORPORATIONS MANUFACTURING OPC PRIVATE LIMITED,One Person Company,Unlimited Company,Non-govt company,22/05/2002,39572107,6326232,Strike Off,INFORMATION SERVICE ACTIVITIES,"C-303, Anna Salai, Borivali, Tamil Nadu - 475041",ROC-CHENNAI
U70208TN2010OPC538635,FOODS EDUCATION TRADING OPC PRIVATE LIMITED,Private,Company limited by guarantee,Non-govt company,02/03/2010,9663402,1481527,Active,COMPUTER PROGRAMMING,"B-202, MG Road, Satellite, Tamil Nadu - 440027",ROC-CHENNAI
L93172TN2001OPC419828,DEVELOPERS ENTERPRISES PRIVATE LIMITED,Public,Company limited by shares,State Govt company,25/07/2001,43759545,17021300,Active,WHOLESALE TRADE,"E-505, MG Road, Whitefield, Tamil Nadu - 480894",ROC-CHENNAI
L73477TN2011PLC223419,CHEMICALS GLOBAL INDUSTRIES OPC PRIVATE LIMITED,Private,Company limited by shares,State Govt company,15/06/2011,11688748,4674917,Under Liquidation,WHOLESALE TRADE,"A-101, Brigade Road, Satellite, Tamil Nadu - 485189",ROC-CHENNAI
U37306TN2019OPC321661,INDUSTRIES LIMITED,Public,Company limited by shares,State Govt company,25/10/2019,8152993,1216903,Active,EDUCATION,"D-404, Brigade Road, Adyar, Tamil Nadu - 557918",ROC-CHENNAI
L35948TN2012OPC591305,CONSTRUCTIONS SERVICES PRIVATE LIMITED,Private,Company limited by shares,State Govt company,21/07/2012,21480503,8339219,Active,WHOLESALE TRADE,"A-101, Brigade Road, Adyar, Tamil Nadu - 478542",ROC-CHENNAI
L83394TN2021PTC207801,REALTY CORPORATIONS OPC PRIVATE LIMITED,Private,Unlimited Company,State Govt company,05/04/2021,25339751,5132858,Strike Off,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,"E-505, Link Road, Adyar, Tamil Nadu - 456479",ROC-CHENNAI
L76901TN2005PLC281183,EXPORTS REALTY OPC PRIVATE LIMITED,One Person Company,Company limited by guarantee,State Govt company,12/04/2005,2952692,4709733,Active,CONSTRUCTION,"B-202, Link Road, Borivali, Tamil Nadu - 479488",ROC-CHENNAI
U68063TN2005PLC189698,FOODS CHEMICALS OPC PRIVATE LIMITED,One Person Company,Company limited by shares,Non-govt company,25/08/2005,37458690,24306881,Dissolved,HUMAN HEALTH AND SOCIAL WORK,"C-303, Park Street, Satellite, Tamil Nadu - 500496",ROC-CHENNAI
L72682TN2003OPC649999,EXPORTS SYSTEMS OPC PRIVATE LIMITED,One Person Company,Company limited by guarantee,Non-govt company,12/09/2003,33280398,3993680,Under Liquidation,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES","E-505, MG Road, Borivali, Tamil Nadu - 493212",ROC-CHENNAI
U42132TN2006OPC738352,INTERNATIONAL TRADING ENTERPRISES PRIVATE LIMITED,Public,Company limited by guarantee,State Govt company,24/01/2006,40627013,14159352,Active,MANUFACTURING (CHEMICALS),"D-404, MG Road, Adyar, Tamil Nadu - 446326",ROC-CHENNAI
U26433TN2008PTC340532,EDUCATION CONSTRUCTIONS PRIVATE LIMITED,One Person Company,Company limited by guarantee,Non-govt company,15/09/2008,7849926,4281921,Active,MANUFACTURING (TEXTILES),"B-202, Park Street, Whitefield, Tamil Nadu - 480023",ROC-CHENNAI
L92563TN2014OPC952060,FOODS CHEMICALS GLOBAL LIMITED,Private,Company limited by shares,Non-govt company,21/07/2014,38647621,20324669,Strike Off,ACCOMMODATION AND FOOD SERVICE,"E-505, Anna Salai, Borivali, Tamil Nadu - 542698",ROC-CHENNAI
L97573TN2004PTC891801,DEVELOPERS CONSTRUCTIONS PRIVATE LIMITED,One Person Company,Company limited by guarantee,State Govt company,06/09/2004,40279454,10278454,Dissolved,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES","C-303, Park Street, Adyar, Tamil Nadu - 532590",ROC-CHENNAI
L16431TN2003PLC778630,EDUCATION SERVICES OPC PRIVATE LIMITED,One Person Company,Company limited by guarantee,State Govt company,17/07/2003,31196636,17531955,Active,COMPUTER PROGRAMMING,"E-505, Link Road, Adyar, Tamil Nadu - 425228",ROC-CHENNAI
U90770TN2015PTC143704,SYSTEMS PRIVATE LIMITED,Private,Company limited by guarantee,State Govt company,26/04/2015,33728388,17774631,Dissolved,COMPUTER PROGRAMMING,"D-404, MG Road, Andheri, Tamil Nadu - 453439",ROC-CHENNAI
L68066TN2018OPC374585,CONSTRUCTIONS OPC PRIVATE LIMITED,Public,Unlimited Company,Non-govt company,01/09/2018,28982118,416566,Active,ACCOMMODATION AND FOOD SERVICE,"C-303, Brigade Road, Borivali, Tamil Nadu - 409091",ROC-CHENNAI
U84969TN2008PTC567914,INTERNATIONAL FOODS OPC PRIVATE LIMITED,Private,Unlimited Company,State Govt company,22/08/2008,43160331,6688695,Strike Off,FINANCIAL SERVICE ACTIVITIES,"C-303, Anna Salai, Whitefield, Tamil Nadu - 546599",ROC-CHENNAI
U19584TN2015OPC686889,SERVICES OPC PRIVATE LIMITED,One Person Company,Unlimited Company,State Govt company,11/02/2015,457038,9769564,Dissolved,INFORMATION SERVICE ACTIVITIES,"D-404, MG Road, Borivali, Tamil Nadu - 404572",ROC-CHENNAI
U46842TN2009OPC213570,INDUSTRIES INTERNATIONAL PRIVATE LIMITED,One Person Company,Company limited by guarantee,Non-govt company,30/07/2009,41231499,9270135,Under Liquidation,RETAIL TRADE,"E-505, Brigade Road, Satellite, Tamil Nadu - 509088",ROC-CHENNAI
L87887TN2019OPC735942,EXPORTS INDUSTRIES LIMITED,Public,Unlimited Company,Non-govt company,22/01/2019,47512070,22265113,Under Liquidation,WHOLESALE TRADE,"B-202, Link Road, Whitefield, Tamil Nadu - 543445",ROC-CHENNAI
U59674TN2020PTC346377,TEXTILES CORPORATIONS EDUCATION LIMITED,Private,Unlimited Company,State Govt company,08/08/2020,35077892,4209267,Dissolved,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,"E-505, Park Street, Andheri, Tamil Nadu - 470702",ROC-CHENNAI
U62480TN2000OPC629801,DEVELOPERS HEALTHCARE TEXTILES OPC PRIVATE LIMITED,Private,Unlimited Company,State Govt company,21/02/2000,49422277,10690967,Dissolved,MANUFACTURING (FOOD PRODUCTS),"B-202, Park Street, Andheri, Tamil Nadu - 519938",ROC-CHENNAI
L97390TN2007PLC116100,FINANCE LIMITED,One Person Company,Unlimited Company,State Govt company,05/06/2007,26963536,16088923,Active,MANUFACTURING (CHEMICALS),"D-404, MG Road, Satellite, Tamil Nadu - 516938",ROC-CHENNAI
L54700TN2005PLC249039,CONSTRUCTIONS LIMITED,Public,Company limited by shares,State Govt company,29/04/2005,14705334,23102696,Dissolved,CONSTRUCTION,"D-404, Brigade Road, Borivali, Tamil Nadu - 494455",ROC-CHENNAI
L66398TN2014OPC226819,TECHNOLOGIES OPC PRIVATE LIMITED,Public,Unlimited Company,Non-govt company,06/06/2014,45212595,19017052,Active,ACCOMMODATION AND FOOD SERVICE,"A-101, MG Road, Adyar, Tamil Nadu - 511860",ROC-CHENNAI
U95642TN2013PTC284629,EDUCATION LIMITED,Private,Unlimited Company,Non-govt company,20/01/2013,10329670,13013915,Active,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,"A-101, Brigade Road, Andheri, Tamil Nadu - 403571",ROC-CHENNAI
U29638TN2000PLC365105,ENTERPRISES OPC PRIVATE LIMITED,Private,Company limited by shares,Non-govt company,13/08/2000,29768942,10993892,Under Liquidation,REAL ESTATE ACTIVITIES,"E-505, Anna Salai, Borivali, Tamil Nadu - 509547",ROC-CHENNAI
U13488TN2022PTC866423,TECHNOLOGIES DEVELOPERS LIMITED,Private,Unlimited Company,State Govt company,19/09/2022,49792900,9021048,Dissolved,MANUFACTURING (TEXTILES),"E-505, Link Road, Andheri, Tamil Nadu - 537029",ROC-CHENNAI
