CORPORATE_IDENTIFICATION_NUMBER,COMPANY_NAME,COMPANY_CLASS,COMPANY_CATEGORY,COMPANY_SUB_CATEGORY,DATE_OF_REGISTRATION,AUTHORIZED_CAPITAL,PAIDUP_CAPITAL,COMPANY_STATUS,PRINCIPAL_BUSINESS_ACTIVITY,REGISTERED_OFFICE_ADDRESS,ROC_CODE
U32719KA2009OPC526148,FOODS CONSTRUCTIONS PRIVATE LIMITED,Public,Unlimited Company,Non-govt company,23/11/2009,42950280,19041061,Active,COMPUTER PROGRAMMING,"B-202, Anna Salai, Adyar, Karnataka - 465146",ROC-BANGALORE
L83802KA2024PLC499509,MANUFACTURING PRIVATE LIMITED,Public,Company limited by guarantee,Non-govt company,28/06/2024,45191349,24653110,Dissolved,MANUFACTURING (TEXTILES),"C-303, Brigade Road, Adyar, Karnataka - 476108",ROC-BANGALORE
U97230KA2010PTC954014,EDUCATION TRADING LIMITED,Public,Company limited by guarantee,Non-govt company,06/12/2010,49984433,2168841,Under Liquidation,RETAIL TRADE,"D-404, Link Road, Whitefield, Karnataka - 546198",ROC-BANGALORE
U49115KA2011PLC528305,ENTERPRISES PRIVATE LIMITED,Private,Unlimited Company,State Govt company,11/08/2011,41500784,13782925,Under Liquidation,RETAIL TRADE,"E-505, Brigade Road, Whitefield, Karnataka - 457230",ROC-BANGALORE
U38097KA2010PTC184785,FOODS TRADING HEALTHCARE LIMITED,Public,Unlimited Company,Non-govt company,05/05/2010,8716387,23474732,Active,MANUFACTURING (FOOD PRODUCTS),"A-101, MG Road, Satellite, Karnataka - 483854",ROC-BANGALORE
L85958KA2012PLC150799,HEALTHCARE TECH DEVELOPERS PRIVATE LIMITED,Public,Company limited by guarantee,Non-govt company,09/06/2012,14181574,13095212,Active,HUMAN HEALTH AND SOCIAL WORK,"E-505, Park Street, Whitefield, Karnataka - 538985",ROC-BANGALORE
U29763KA2014OPC394814,HEALTHCARE PHARMA FOODS PRIVATE LIMITED,Public,Company limited by guarantee,Non-govt company,09/07/2014,19660467,20076962,Under Liquidation,RETAIL TRADE,"C-303, MG Road, Whitefield, Karnataka - 533320",ROC-BANGALORE
L17229KA2000PLC312233,ENTERPRISES INVESTMENTS PRIVATE LIMITED,Public,Unlimited Company,State Govt company,05/02/2000,46105825,15533714,Under Liquidation,RETAIL TRADE,"C-303, Anna Salai, Satellite, Karnataka - 472965",ROC-BANGALORE
L76178KA2000PLC951959,CAPITAL FINANCE FOODS LIMITED,Private,Unlimited Company,State Govt company,10/10/2000,21774616,9433910,Active,CONSTRUCTION,"B-202, Park Street, Satellite, Karnataka - 449151",ROC-BANGALORE
U30480KA2000PTC189846,CHEMICALS PRIVATE LIMITED,Private,Unlimited Company,State Govt company,19/11/2000,45246715,1306593,Strike Off,MANUFACTURING (TEXTILES),"A-101, Link Road, Andheri, Karnataka - 524069",ROC-BANGALORE
U12117KA2008PTC201099,INDIA TECHNOLOGIES CORPORATIONS PRIVATE LIMITED,Public,Unlimited Company,Non-govt company,12/06/2008,41136442,9977394,Strike Off,EDUCATION,"E-505, MG Road, Borivali, Karnataka - 470592",ROC-BANGALORE
L20755KA2006PLC558936,INDIA CAPITAL VENTURES OPC PRIVATE LIMITED,Public,Company limited by shares,Non-govt company,15/03/2006,14950024,22724055,Strike Off,MANUFACTURING (TEXTILES),"D-404, Anna Salai, Adyar, Karnataka - 548544",ROC-BANGALORE
U95796KA2022OPC856747,IMPORTS DEVELOPERS LIMITED,One Person Company,Company limited by guarantee,State Govt company,22/01/2022,33964170,21774650,Under Liquidation,REAL ESTATE ACTIVITIES,"D-404, Brigade Road, Borivali, Karnataka - 440881",ROC-BANGALORE
U76672KA2020PLC439393,CHEMICALS CONSULTANCY LIMITED,One Person Company,Company limited by shares,Non-govt company,22/02/2020,14190708,19660805,Under Liquidation,CONSTRUCTION,"E-505, Link Road, Satellite, Karnataka - 553936",ROC-BANGALORE
U95400KA2018OPC308577,DEVELOPERS GLOBAL TEXTILES OPC PRIVATE LIMITED,Public,Company limited by shares,Non-govt company,16/11/2018,11439779,16470123,Active,MANUFACTURING (FOOD PRODUCTS),"A-101, Brigade Road, Borivali, Karnataka - 506344",ROC-BANGALORE
L71167KA2001PTC725914,INVESTMENTS CORPORATIONS INTERNATIONAL OPC PRIVATE LIMITED,One Person Company,Unlimited Company,State Govt company,28/01/2001,21212333,19930785,Active,REAL ESTATE ACTIVITIES,"D-404, Brigade Road, Borivali, Karnataka - 492149",ROC-BANGALORE
L83285KA2014PLC731747,REALTY LIMITED,Private,Company limited by guarantee,State Govt company,21/02/2014,10637889,14624590,Strike Off,RETAIL TRADE,"D-404, Anna Salai, Whitefield, Karnataka - 429647",ROC-BANGALORE
L38928KA2010PLC545273,FOODS HEALTHCARE PRIVATE LIMITED,Private,Unlimited Company,Non-govt company,19/02/2010,4682862,18381612,Active,HUMAN HEALTH AND SOCIAL WORK,"D-404, Park Street, Adyar, Karnataka - 446590",ROC-BANGALORE
L52367KA2004PLC465076,SOLUTIONS LIMITED,One Person Company,Unlimited Company,State Govt company,18/08/2004,30278434,17630420,Active,MANUFACTURING (CHEMICALS),"C-303, MG Road, Whitefield, Karnataka - 469655",ROC-BANGALORE
L42909KA2021OPC295047,CONSULTANCY EDUCATION REALTY PRIVATE LIMITED,One Person Company,Company limited by guarantee,State Govt company,12/06/2021,8174270,22449432,Under Liquidation,WHOLESALE TRADE,"C-303, Park Street, Adyar, Karnataka - 449762",ROC-BANGALORE
L52815KA2004OPC308205,INVESTMENTS TECHNOLOGIES LIMITED,Public,Company limited by guarantee,Non-govt company,10/08/2004,24613334,18950091,Amalgamated,WHOLESALE TRADE,"C-303, Link Road, Andheri, Karnataka - 458510",ROC-BANGALORE
L33983KA2021PTC426810,INTERNATIONAL CHEMICALS OPC PRIVATE LIMITED,One Person Company,Company limited by guarantee,Non-govt company,15/03/2021,12902224,13305624,Dissolved,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,"A-101, Anna Salai, Satellite, Karnataka - 439443",ROC-BANGALORE
L54787KA2007PLC361294,GLOBAL INDUSTRIES LIMITED,Public,Company limited by shares,State Govt company,12/11/2007,43676554,15527475,Under Liquidation,COMPUTER PROGRAMMING,"C-303, Brigade Road, Satellite, Karnataka - 411124",ROC-BANGALORE
L20156KA2016PTC617063,SERVICES TECH SYSTEMS PRIVATE LIMITED,One Person Company,Unlimited Company,State Govt company,22/04/2016,37299244,16860997,Strike Off,RETAIL TRADE,"D-404, MG Road, Borivali, Karnataka - 424535",ROC-BANGALORE
U64787KA2007PLC142422,CAPITAL TECHNOLOGIES PRIVATE LIMITED,Public,Unlimited Company,State Govt company,27/06/2007,2080877,2165378,Active,MANUFACTURING (CHEMICALS),"D-404, Link Road, Adyar, Karnataka - 437079",ROC-BANGALORE
U86704KA2014PLC294710,FINANCE LIMITED,Public,Company limited by guarantee,Non-govt company,25/05/2014,20373328,1944540,Active,INFORMATION SERVICE ACTIVITIES,"C-303, Link Road, Adyar, Karnataka - 415649",ROC-BANGALORE
U82765KA2005PLC752808,VENTURES TRADING LIMITED,Public,Company limited by guarantee,State Govt company,13/12/2005,10617461,13098465,Amalgamated,MANUFACTURING (FOOD PRODUCTS),"A-101, MG Road, Borivali, Karnataka - 450180",ROC-BANGALORE
U52802KA2004PTC787233,TECH OPC PRIVATE LIMITED,Private,Company limited by shares,State Govt company,31/03/2004,43201291,13863893,Dissolved,CONSTRUCTION,"A-101, MG Road, Satellite, Karnataka - 439288",ROC-BANGALORE
U50127KA2023PTC213347,INDIA HEALTHCARE IMPORTS PRIVATE LIMITED,Public,Company limited by guarantee,Non-govt company,29/08/2023,13643287,20719661,Strike Off,MANUFACTURING (CHEMICALS),"A-101, Brigade Road, Borivali, Karnataka - 500696",ROC-BANGALORE
L66091KA2022PTC923766,HEALTHCARE VENTURES PRIVATE LIMITED,Private,Company limited by shares,Non-govt company,06/05/2022,23469392,3095763,Amalgamated,MANUFACTURING (TEXTILES),"B-202, Anna Salai, Adyar, Karnataka - 537466",ROC-BANGALORE
U14901KA2006PTC885832,INVESTMENTS LIMITED,Private,Unlimited Company,State Govt company,29/11/2006,5409593,20278473,Under Liquidation,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES","E-505, MG Road, Adyar, Karnataka - 461608",ROC-BANGALORE
L90643KA2024PTC397991,REALTY FINANCE PRIVATE LIMITED,One Person Company,Unlimited Company,Non-govt company,03/09/2024,15999012,12698567,Strike Off,COMPUTER PROGRAMMING,"D-404, Link Road, Whitefield, Karnataka - 557846",ROC-BANGALORE
L84572KA2020PTC809340,SOLUTIONS LIMITED,Private,Company limited by guarantee,State Govt company,09/06/2020,5203537,11823429,Active,ACCOMMODATION AND FOOD SERVICE,"C-303, Link Road, Adyar, Karnataka - 444584",ROC-BANGALORE
L88892KA2002PTC383080,ENTERPRISES OPC PRIVATE LIMITED,One Person Company,Company limited by shares,Non-govt company,16/02/2002,24527552,1080288,Under Liquidation,ACCOMMODATION AND FOOD SERVICE,"A-101, MG Road, Andheri, Karnataka - 531780",ROC-BANGALORE
U48678KA2009OPC607683,REALTY PHARMA PRIVATE LIMITED,Private,Company limited by guarantee,State Govt company,09/03/2009,19083320,2048375,Active,RETAIL TRADE,"A-101, Anna Salai, Borivali, Karnataka - 510551",ROC-BANGALORE
U15703KA2005PTC161924,SYSTEMS OPC PRIVATE LIMITED,One Person Company,Company limited by shares,State Govt company,04/05/2005,18041989,6467167,Active,CONSTRUCTION,"C-303, Anna Salai, Borivali, Karnataka - 407709",ROC-BANGALORE
L45252KA2006OPC974814,ENTERPRISES INNOVATIONS PRIVATE LIMITED,Private,Company limited by guarantee,Non-govt company,25/06/2006,11960882,1599179,Amalgamated,RETAIL TRADE,"E-505, Brigade Road, Whitefield, Karnataka - 525695",ROC-BANGALORE
U91603KA2005OPC478040,SOLUTIONS LIMITED,Public,Company limited by guarantee,Non-govt company,05/06/2005,5454950,10141928,Under Liquidation,MANUFACTURING (CHEMICALS),"A-101, Brigade Road, Adyar, Karnataka - 411594",ROC-BANGALORE
L99575KA2012OPC663791,INDIA HEALTHCARE SOLUTIONS LIMITED,Public,Company limited by guarantee,Non-govt company,18/01/2012,47091767,11266274,Under Liquidation,WHOLESALE TRADE,"D-404, MG Road, Borivali, Karnataka - 507424",ROC-BANGALORE
U56188KA2000PTC885391,EXPORTS REALTY OPC PRIVATE LIMITED,One Person Company,Company limited by guarantee,Non-govt company,23/06/2000,18332061,8718545,Active,WHOLESALE TRADE,"B-202, Anna Salai, Adyar, Karnataka - 511805",ROC-BANGALORE
U80580KA2002PLC784583,FINANCE SERVICES OPC PRIVATE LIMITED,One Person Company,Company limited by guarantee,State Govt company,12/10/2002,10925198,2110985,Dissolved,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,"D-404, Brigade Road, Adyar, Karnataka - 410750",ROC-BANGALORE
U24361KA2007OPC260826,CONSULTANCY LIMITED,One Person Company,Unlimited Company,State Govt company,06/05/2007,33362716,8009604,Active,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,"B-202, Link Road, Borivali, Karnataka - 556620",ROC-BANGALORE
L42397KA2015PTC355862,FINANCE PHARMA LIMITED,One Person Company,Company limited by shares,State Govt company,02/08/2015,24472809,5921469,Amalgamated,REAL ESTATE ACTIVITIES,"B-202, Park Street, Borivali, Karnataka - 417090",ROC-BANGALORE
U40793KA2007PTC639100,EXPORTS LIMITED,Public,Company limited by shares,State Govt company,22/12/2007,3865581,9449493,Active,COMPUTER PROGRAMMING,"D-404, MG Road, Borivali, Karnataka - 501189",ROC-BANGALORE
U87596KA2009PTC348520,INVESTMENTS CONSTRUCTIONS EXPORTS PRIVATE LIMITED,One Person Company,Company limited by guarantee,State Govt company,20/03/2009,11351304,13291442,Dissolved,EDUCATION,"A-101, Anna Salai, Andheri, Karnataka - 450527",ROC-BANGALORE
U96109KA2013OPC302195,DEVELOPERS GLOBAL CAPITAL LIMITED,Private,Company limited by guarantee,State Govt company,29/05/2013,17556119,16822887,Active,FINANCIAL SERVICE ACTIVITIES,"B-202, MG Road, Borivali, Karnataka - 440919",ROC-BANGALORE
U51648KA2016PTC399756,INDIA SYSTEMS PRIVATE LIMITED,Public,Unlimited Company,Non-govt company,19/12/2016,48429168,17128571,Strike Off,HUMAN HEALTH AND SOCIAL WORK,"C-303, Link Road, Adyar, Karnataka - 498512",ROC-BANGALORE
L82462KA2022PLC775338,CONSULTANCY INVESTMENTS SOLUTIONS PRIVATE LIMITED,Public,Unlimited Company,State Govt company,13/05/2022,25954302,707703,Active,COMPUTER PROGRAMMING,"C-303, Park Street, Whitefield, Karnataka - 504633",ROC-BANGALORE
U65235KA2006PLC623493,TRADING PHARMA LIMITED,Public,Company limited by shares,State Govt company,29/04/2006,33416775,9069288,Strike Off,EDUCATION,"B-202, Link Road, Andheri, Karnataka - 432378",ROC-BANGALORE
U66773KA2009PTC701374,IMPORTS TRADING VENTURES LIMITED,Private,Unlimited Company,State Govt company,22/12/2009,32103158,687733,Strike Off,COMPUTER PROGRAMMING,"E-505, Park Street, Andheri, Karnataka - 507555",ROC-BANGALORE
U81981KA2009PTC279384,INNOVATIONS OPC PRIVATE LIMITED,Private,Company limited by guarantee,Non-govt company,14/09/2009,8001835,22658685,Amalgamated,MANUFACTURING (TEXTILES),"D-404, Brigade Road, Whitefield, Karnataka - 533959",ROC-BANGALORE
L93002KA2014OPC306940,EXPORTS OPC PRIVATE LIMITED,Private,Unlimited Company,Non-govt company,09/04/2014,31383916,343760,Dissolved,ACCOMMODATION AND FOOD SERVICE,"D-404, MG Road, Whitefield, Karnataka - 490533",ROC-BANGALORE
U75105KA2015PLC912130,INDIA CONSTRUCTIONS PRIVATE LIMITED,Private,Company limited by shares,Non-govt company,06/05/2015,13754422,707479,Active,CONSTRUCTION,"D-404, Park Street, Adyar, Karnataka - 403364",ROC-BANGALORE
U16428KA2007PLC694081,HEALTHCARE CAPITAL EDUCATION PRIVATE LIMITED,Public,Company limited by guarantee,State Govt company,03/08/2007,28636974,13972697,Amalgamated,REAL ESTATE ACTIVITIES,"B-202, Link Road, Whitefield, Karnataka - 509004",ROC-BANGALORE
U92663KA2017PTC856461,IMPORTS OPC PRIVATE LIMITED,One Person Company,Company limited by guarantee,State Govt company,11/02/2017,25695220,2497587,Dissolved,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES","C-303, Brigade Road, Andheri, Karnataka - 445683",ROC-BANGALORE
U29420KA2012PTC979403,PHARMA VENTURES LIMITED,One Person Company,Company limited by shares,State Govt company,27/04/2012,29866316,8522862,Dissolved,MANUFACTURING (TEXTILES),"D-404, MG Road, Satellite, Karnataka - 432947",ROC-BANGALORE
L39005KA2020PTC676310,INTERNATIONAL OPC PRIVATE LIMITED,Private,Company limited by guarantee,State Govt company,21/03/2020,12647357,23570741,Active,MANUFACTURING (TEXTILES),"B-202, Link Road, Borivali, Karnataka - 454353",ROC-BANGALORE
U35242KA2007PLC836336,VENTURES CORPORATIONS IMPORTS LIMITED,Public,Company limited by guarantee,Non-govt company,08/10/2007,36301998,11470306,Strike Off,RETAIL TRADE,"E-505, MG Road, Andheri, Karnataka - 469288",ROC-BANGALORE
U11477KA2006PLC557015,GLOBAL IMPORTS EXPORTS LIMITED,Public,Company limited by shares,State Govt company,20/09/2006,16489534,8053505,Active,WHOLESALE TRADE,"C-303, MG Road, Satellite, Karnataka - 536026",ROC-BANGALORE
U26382KA2004PLC910145,REALTY TECH OPC PRIVATE LIMITED,Private,Company limited by shares,Non-govt company,04/07/2004,40187590,13153966,Dissolved,FINANCIAL SERVICE ACTIVITIES,"E-505, Anna Salai, Satellite, Karnataka - 502503",ROC-BANGALORE
U63276KA2010OPC431254,INTERNATIONAL OPC PRIVATE LIMITED,Private,Unlimited Company,State Govt company,10/04/2010,11439947,14107628,Active,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES","D-404, Park Street, Borivali, Karnataka - 517444",ROC-BANGALORE
U29389KA2019PTC796142,INDUSTRIES LIMITED,One Person Company,Company limited by shares,Non-govt company,24/10/2019,8342680,14654943,Under Liquidation,INFORMATION SERVICE ACTIVITIES,"E-505, Anna Salai, Andheri, Karnataka - 463090",ROC-BANGALORE
U71449KA2008OPC344372,VENTURES CONSTRUCTIONS ENTERPRISES PRIVATE LIMITED,Public,Company limited by guarantee,State Govt company,11/05/2008,28037244,7210814,Amalgamated,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,"B-202, Brigade Road, Satellite, Karnataka - 446425",ROC-BANGALORE
U24628KA2020OPC578784,DEVELOPERS INVESTMENTS IMPORTS OPC PRIVATE LIMITED,One Person Company,Company limited by guarantee,State Govt company,27/03/2020,3896152,14026336,Under Liquidation,EDUCATION,"C-303, Link Road, Andheri, Karnataka - 501783",ROC-BANGALORE
U72535KA2022PLC201107,DEVELOPERS EDUCATION PRIVATE LIMITED,One Person Company,Unlimited Company,State Govt company,08/06/2022,11505602,6730370,Dissolved,ACCOMMODATION AND FOOD SERVICE,"E-505, MG Road, Borivali, Karnataka - 507418",ROC-BANGALORE
L22021KA2012PTC743456,VENTURES INDIA LIMITED,Private,Company limited by shares,State Govt company,19/06/2012,49574698,22945631,Amalgamated,REAL ESTATE ACTIVITIES,"C-303, Link Road, Whitefield, Karnataka - 459430",ROC-BANGALORE
L40118KA2017OPC758141,CAPITAL CORPORATIONS GLOBAL OPC PRIVATE LIMITED,Private,Company limited by shares,Non-govt company,21/07/2017,30169588,19889065,Dissolved,COMPUTER PROGRAMMING,"D-404, Park Street, Whitefield, Karnataka - 559103",ROC-BANGALORE
L76235KA2009PLC963904,INDUSTRIES PRIVATE LIMITED,Public,Company limited by guarantee,Non-govt company,08/06/2009,16148870,4552166,Dissolved,COMPUTER PROGRAMMING,"A-101, Park Street, Andheri, Karnataka - 538654",ROC-BANGALORE
U45754KA2005PTC165099,TRADING LIMITED,One Person Company,Unlimited Company,State Govt company,25/08/2005,3666110,6205592,Amalgamated,INFORMATION SERVICE ACTIVITIES,"E-505, Brigade Road, Adyar, Karnataka - 550066",ROC-BANGALORE
L71149KA2021OPC420572,REALTY INVESTMENTS INTERNATIONAL OPC PRIVATE LIMITED,Public,Unlimited Company,Non-govt company,30/09/2021,16734742,22056981,Active,HUMAN HEALTH AND SOCIAL WORK,"B-202, Park Street, Borivali, Karnataka - 434229",ROC-BANGALORE
U79383KA2022PTC878344,ENTERPRISES LIMITED,One Person Company,Company limited by guarantee,Non-govt company,20/01/2022,48924242,17047641,Active,ACCOMMODATION AND FOOD SERVICE,"D-404, Brigade Road, Adyar, Karnataka - 427722",ROC-BANGALORE
L60472KA2000OPC344130,INDUSTRIES PRIVATE LIMITED,Private,Company limited by guarantee,Non-govt company,17/11/2000,48076254,9357156,Amalgamated,CONSTRUCTION,"D-404, Brigade Road, Andheri, Karnataka - 490042",ROC-BANGALORE
U88546KA2011OPC691467,INTERNATIONAL PRIVATE LIMITED,Private,Company limited by guarantee,State Govt company,07/03/2011,24286108,6256562,Under Liquidation,MANUFACTURING (CHEMICALS),"A-101, Anna Salai, Andheri, Karnataka - 427707",ROC-BANGALORE
L35518KA2002PLC962613,INNOVATIONS IMPORTS PRIVATE LIMITED,Private,Unlimited Company,Non-govt company,08/12/2002,14408598,19536897,Dissolved,MANUFACTURING (TEXTILES),"A-101, Anna Salai, Adyar, Karnataka - 500119",ROC-BANGALORE
U10217KA2017PTC976533,CONSTRUCTIONS TRADING OPC PRIVATE LIMITED,Private,Company limited by guarantee,Non-govt company,19/02/2017,28044866,6960397,Under Liquidation,INFORMATION SERVICE ACTIVITIES,"A-101, MG Road, Adyar, Karnataka - 454913",ROC-BANGALORE
U62290KA2007PLC695578,FINANCE VENTURES PRIVATE LIMITED,Public,Company limited by shares,State Govt company,10/08/2007,21178309,2489560,Active,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,"D-404, Anna Salai, Adyar, Karnataka - 488039",ROC-BANGALORE
L41916KA2014PTC806846,INDIA SOLUTIONS OPC PRIVATE LIMITED,Public,Company limited by shares,State Govt company,05/12/2014,1043526,6449218,Amalgamated,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES","A-101, Link Road, Adyar, Karnataka - 402828",ROC-BANGALORE
U14367KA2016PLC387983,EXPORTS OPC PRIVATE LIMITED,One Person Company,Company limited by shares,Non-govt company,16/12/2016,20855769,5939532,Dissolved,CONSTRUCTION,"E-505, Park Street, Borivali, Karnataka - 521745",ROC-BANGALORE
U92489KA2006PLC793062,TRADING REALTY LIMITED,Private,Company limited by shares,Non-govt company,03/08/2006,38041563,20831460,Active,FINANCIAL SERVICE ACTIVITIES,"C-303, Anna Salai, Adyar, Karnataka - 484656",ROC-BANGALORE
L55864KA2024PLC845639,VENTURES TEXTILES OPC PRIVATE LIMITED,Private,Unlimited Company,State Govt company,04/01/2024,21365979,13196269,Active,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES","E-505, MG Road, Whitefield, Karnataka - 420594",ROC-BANGALORE
U60490KA2016PLC879367,ENTERPRISES LIMITED,Private,Unlimited Company,State Govt company,29/08/2016,42169021,8276493,Strike Off,REAL ESTATE ACTIVITIES,"A-101, Link Road, Borivali, Karnataka - 431805",ROC-BANGALORE
U25031KA2021PLC169878,FINANCE SERVICES SYSTEMS PRIVATE LIMITED,Public,Company limited by guarantee,Non-govt company,07/04/2021,26153589,18169697,Amalgamated,ACCOMMODATION AND FOOD SERVICE,"E-505, Park Street, Whitefield, Karnataka - 428144",ROC-BANGALORE
U62630KA2012PTC691672,CAPITAL VENTURES PRIVATE LIMITED,Public,Company limited by shares,Non-govt company,09/11/2012,30068424,17547931,Dissolved,ACCOMMODATION AND FOOD SERVICE,"C-303, Brigade Road, Borivali, Karnataka - 440668",ROC-BANGALORE
L71069KA2013PTC646666,SOLUTIONS INNOVATIONS IMPORTS LIMITED,One Person Company,Unlimited Company,Non-govt company,19/07/2013,33964118,11172440,Active,CONSTRUCTION,"A-101, Anna Salai, Adyar, Karnataka - 422960",ROC-BANGALORE
U64996KA2007OPC966173,CORPORATIONS SYSTEMS PRIVATE LIMITED,One Person Company,Company limited by shares,State Govt company,07/03/2007,37089569,7598579,Active,INFORMATION SERVICE ACTIVITIES,"C-303, Brigade Road, Borivali, Karnataka - 513831",ROC-BANGALORE
L53307KA2000PLC883205,MANUFACTURING PRIVATE LIMITED,Private,Company limited by shares,State Govt company,25/05/2000,29747302,15563346,Active,REAL ESTATE ACTIVITIES,"A-101, Link Road, Borivali, Karnataka - 445022",ROC-BANGALORE
U49095KA2010PTC589775,EXPORTS REALTY PRIVATE LIMITED,One Person Company,Company limited by guarantee,State Govt company,08/11/2010,45219931,5782760,Amalgamated,MANUFACTURING (TEXTILES),"B-202, Link Road, Satellite, Karnataka - 497449",ROC-BANGALORE
U66498KA2017PLC627678,EXPORTS LIMITED,One Person Company,Company limited by guarantee,Non-govt company,12/09/2017,15057036,13161270,Dissolved,WHOLESALE TRADE,"D-404, Brigade Road, Satellite, Karnataka - 483280",ROC-BANGALORE
L34274KA2021PTC115116,REALTY PHARMA PRIVATE LIMITED,Private,Company limited by guarantee,Non-govt company,09/04/2021,49253542,13808582,Strike Off,FINANCIAL SERVICE ACTIVITIES,"B-202, Brigade Road, Satellite, Karnataka - 473458",ROC-BANGALORE
U34175KA2002PLC735897,MANUFACTURING TECHNOLOGIES OPC PRIVATE LIMITED,Private,Company limited by guarantee,State Govt company,01/08/2002,6452765,1280248,Amalgamated,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,"B-202, Brigade Road, Satellite, Karnataka - 511053",ROC-BANGALORE
U61377KA2006PTC844848,GLOBAL OPC PRIVATE LIMITED,Private,Unlimited Company,Non-govt company,16/12/2006,10884341,6917207,Active,REAL ESTATE ACTIVITIES,"C-303, Brigade Road, Borivali, Karnataka - 516744",ROC-BANGALORE
L29003KA2021PTC224638,HEALTHCARE TECHNOLOGIES SERVICES PRIVATE LIMITED,One Person Company,Company limited by guarantee,State Govt company,19/11/2021,47896677,7317367,Strike Off,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES","D-404, MG Road, Andheri, Karnataka - 421202",ROC-BANGALORE
U85596KA2005PTC481517,SERVICES LIMITED,Private,Company limited by shares,State Govt company,26/10/2005,39062518,2246747,Amalgamated,CONSTRUCTION,"E-505, Brigade Road, Adyar, Karnataka - 446711",ROC-BANGALORE
L93483KA2000PTC572726,FINANCE LIMITED,Public,Company limited by guarantee,Non-govt company,26/02/2000,5802869,3668487,Amalgamated,INFORMATION SERVICE ACTIVITIES,"D-404, MG Road, Andheri, Karnataka - 405295",ROC-BANGALORE
L38206KA2022PLC410265,DEVELOPERS INTERNATIONAL PRIVATE LIMITED,Public,Unlimited Company,State Govt company,09/06/2022,35577114,16858646,Amalgamated,MANUFACTURING (CHEMICALS),"E-505, Anna Salai, Borivali, Karnataka - 461987",ROC-BANGALORE
L99713KA2016PLC382745,ENTERPRISES OPC PRIVATE LIMITED,Public,Company limited by shares,State Govt company,05/08/2016,4351874,6396003,Strike Off,RETAIL TRADE,"E-505, Link Road, Satellite, Karnataka - 470568",ROC-BANGALORE
U34072KA2015PLC135694,EXPORTS PRIVATE LIMITED,Public,Unlimited Company,State Govt company,02/03/2015,34288411,6369765,Dissolved,HUMAN HEALTH AND SOCIAL WORK,"E-505, Brigade Road, Andheri, Karnataka - 426910",ROC-BANGALORE
U54133KA2005OPC207512,INDUSTRIES LIMITED,Public,Company limited by guarantee,State Govt company,27/08/2005,1755456,2345458,Strike Off,MANUFACTURING (CHEMICALS),"D-404, MG Road, Satellite, Karnataka - 448900",ROC-BANGALORE
L69301KA2003PLC745136,MANUFACTURING PRIVATE LIMITED,One Person Company,Company limited by shares,State Govt company,20/05/2003,33168737,21356882,Under Liquidation,INFORMATION SERVICE ACTIVITIES,"C-303, Brigade Road, Satellite, Karnataka - 430528",ROC-BANGALORE
L90026KA2002OPC828549,MANUFACTURING LIMITED,Public,Unlimited Company,State Govt company,18/01/2002,13831630,18914007,Strike Off,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES","D-404, Park Street, Satellite, Karnataka - 484787",ROC-BANGALORE
U58452KA2023PTC785992,SYSTEMS PRIVATE LIMITED,Private,Company limited by guarantee,State Govt company,14/09/2023,8101102,12627131,Dissolved,MANUFACTURING (CHEMICALS),"B-202, Brigade Road, Andheri, Karnataka - 475672",ROC-BANGALORE
U82076KA2020OPC748158,INTERNATIONAL GLOBAL PRIVATE LIMITED,One Person Company,Company limited by shares,Non-govt company,17/09/2020,48298072,11861328,Active,CONSTRUCTION,"A-101, Anna Salai, Andheri, Karnataka - 556198",ROC-BANGALORE
U92025KA2007PLC718146,CORPORATIONS OPC PRIVATE LIMITED,Public,Unlimited Company,State Govt company,20/12/2007,43308465,13700403,Strike Off,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,"A-101, Brigade Road, Andheri, Karnataka - 473100",ROC-BANGALORE
L26803KA2013PTC209315,DEVELOPERS EDUCATION PRIVATE LIMITED,Private,Company limited by shares,State Govt company,25/07/2013,11646535,21299470,Under Liquidation,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES","D-404, Brigade Road, Satellite, Karnataka - 524157",ROC-BANGALORE
U17955KA2000PLC751699,CORPORATIONS PRIVATE LIMITED,Public,Company limited by guarantee,Non-govt company,26/03/2000,9409169,24935967,Active,MANUFACTURING (CHEMICALS),"E-505, Park Street, Whitefield, Karnataka - 428292",ROC-BANGALORE
