CORPORATE_IDENTIFICATION_NUMBER,COMPANY_NAME,COMPANY_CLASS,COMPANY_CATEGORY,COMPANY_SUB_CATEGORY,DATE_OF_REGISTRATION,AUTHORIZED_CAPITAL,PAIDUP_CAPITAL,COMPANY_STATUS,PRINCIPAL_BUSINESS_ACTIVITY,REGISTERED_OFFICE_ADDRESS,ROC_CODE
L92972GJ2014PTC887232,SERVICES PRIVATE LIMITED,One Person Company,Company limited by guarantee,State Govt company,31/03/2014,16781678,13789571,Dissolved,HUMAN HEALTH AND SOCIAL WORK,"A-101, Anna Salai, Adyar, Gujarat - 525683",ROC-AHMEDABAD
L46458GJ2008PTC427992,FINANCE MANUFACTURING LIMITED,One Person Company,Company limited by guarantee,Non-govt company,01/10/2008,32135391,22522886,Dissolved,MANUFACTURING (CHEMICALS),"B-202, MG Road, Adyar, Gujarat - 428928",ROC-AHMEDABAD
U80652GJ2013PLC781996,FOODS SYSTEMS OPC PRIVATE LIMITED,Public,Company limited by guarantee,Non-govt company,13/11/2013,19567560,18814100,Dissolved,ACCOMMODATION AND FOOD SERVICE,"E-505, Brigade Road, Whitefield, Gujarat - 549289",ROC-AHMEDABAD
U54419GJ2023OPC527354,EXPORTS IMPORTS OPC PRIVATE LIMITED,Public,Company limited by shares,State Govt company,24/01/2023,42774286,13151206,Amalgamated,ACCOMMODATION AND FOOD SERVICE,"D-404, Brigade Road, Borivali, Gujarat - 411955",ROC-AHMEDABAD
U12382GJ2005PLC586321,GLOBAL FOODS OPC PRIVATE LIMITED,One Person Company,Unlimited Company,Non-govt company,24/06/2005,1380047,15640727,Amalgamated,REAL ESTATE ACTIVITIES,"A-101, MG Road, Adyar, Gujarat - 435471",ROC-AHMEDABAD
L41147GJ2021PTC990763,VENTURES DEVELOPERS CAPITAL PRIVATE LIMITED,Public,Company limited by guarantee,State Govt company,20/08/2021,37822472,22664138,Dissolved,MANUFACTURING (TEXTILES),"C-303, Anna Salai, Whitefield, Gujarat - 490699",ROC-AHMEDABAD
U83947GJ2005PLC840807,INDIA SYSTEMS VENTURES PRIVATE LIMITED,Private,Unlimited Company,State Govt company,03/12/2005,6784611,12883333,Under Liquidation,MANUFACTURING (CHEMICALS),"B-202, Anna Salai, Whitefield, Gujarat - 492299",ROC-AHMEDABAD
L42707GJ2011OPC977956,INNOVATIONS TEXTILES DEVELOPERS LIMITED,Public,Company limited by shares,State Govt company,04/02/2011,5297997,5208103,Active,MANUFACTURING (TEXTILES),"B-202, Park Street, Satellite, Gujarat - 487038",ROC-AHMEDABAD
L63650GJ2003PLC346591,SYSTEMS SERVICES OPC PRIVATE LIMITED,One Person Company,Company limited by shares,Non-govt company,01/10/2003,17012606,23909782,Under Liquidation,WHOLESALE TRADE,"D-404, Park Street, Adyar, Gujarat - 499976",ROC-AHMEDABAD
U91820GJ2013PTC518879,EDUCATION PRIVATE LIMITED,One Person Company,Company limited by shares,State Govt company,17/04/2013,42225182,2885325,Active,INFORMATION SERVICE ACTIVITIES,"D-404, Brigade Road, Borivali, Gujarat - 460253",ROC-AHMEDABAD
L23201GJ2018PLC303158,EDUCATION INDUSTRIES PRIVATE LIMITED,One Person Company,Company limited by guarantee,State Govt company,18/06/2018,43773853,9648839,Active,RETAIL TRADE,"E-505, MG Road, Borivali, Gujarat - 421767",ROC-AHMEDABAD
U23452GJ2023PLC329263,INVESTMENTS VENTURES PRIVATE LIMITED,Private,Company limited by guarantee,State Govt company,15/12/2023,35867714,23533403,Amalgamated,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,"C-303, Park Street, Adyar, Gujarat - 541625",ROC-AHMEDABAD
U42448GJ2018OPC372210,MANUFACTURING LIMITED,Public,Unlimited Company,Non-govt company,07/06/2018,3946488,13225051,Active,ACCOMMODATION AND FOOD SERVICE,"B-202, Park Street, Satellite, Gujarat - 503332",ROC-AHMEDABAD
U11613GJ2019PTC275172,GLOBAL INTERNATIONAL LIMITED,Private,Company limited by guarantee,Non-govt company,01/02/2019,2266665,11670883,Active,HUMAN HEALTH AND SOCIAL WORK,"B-202, Park Street, Whitefield, Gujarat - 519257",ROC-AHMEDABAD
L17316GJ2005PLC682872,PHARMA CONSTRUCTIONS LIMITED,One Person Company,Company limited by guarantee,State Govt company,02/03/2005,38464388,7348376,Strike Off,MANUFACTURING (TEXTILES),"C-303, Anna Salai, Satellite, Gujarat - 476448",ROC-AHMEDABAD
L32841GJ2011OPC530453,CONSTRUCTIONS LIMITED,One Person Company,Company limited by shares,Non-govt company,19/03/2011,17456874,2264104,Dissolved,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,"B-202, Brigade Road, Whitefield, Gujarat - 509718",ROC-AHMEDABAD
U36427GJ2008OPC905526,INNOVATIONS INDIA SYSTEMS PRIVATE LIMITED,Public,Unlimited Company,State Govt company,12/03/2008,26578486,18596646,Active,REAL ESTATE ACTIVITIES,"B-202, Anna Salai, Adyar, Gujarat - 516746",ROC-AHMEDABAD
U33267GJ2018OPC666772,TECHNOLOGIES PRIVATE LIMITED,Public,Company limited by shares,State Govt company,24/08/2018,46967165,15311970,Under Liquidation,MANUFACTURING (TEXTILES),"A-101, Anna Salai, Whitefield, Gujarat - 552301",ROC-AHMEDABAD
U88703GJ2007OPC276256,SYSTEMS LIMITED,One Person Company,Company limited by guarantee,Non-govt company,07/08/2007,23883215,11205118,Under Liquidation,WHOLESALE TRADE,"C-303, Link Road, Whitefield, Gujarat - 535344",ROC-AHMEDABAD
L49868GJ2017PTC183276,REALTY LIMITED,Public,Company limited by shares,State Govt company,26/02/2017,35339582,16484156,Amalgamated,MANUFACTURING (CHEMICALS),"A-101, Park Street, Andheri, Gujarat - 522516",ROC-AHMEDABAD
U74069GJ2003PLC513357,SYSTEMS LIMITED,One Person Company,Company limited by shares,State Govt company,17/12/2003,43738129,789406,Active,COMPUTER PROGRAMMING,"B-202, MG Road, Borivali, Gujarat - 499719",ROC-AHMEDABAD
U21494GJ2018PLC415876,EXPORTS CAPITAL TECHNOLOGIES LIMITED,Public,Company limited by guarantee,Non-govt company,28/05/2018,29639511,12507473,Strike Off,ACCOMMODATION AND FOOD SERVICE,"C-303, MG Road, Borivali, Gujarat - 487570",ROC-AHMEDABAD
U16310GJ2004OPC711315,HEALTHCARE OPC PRIVATE LIMITED,Private,Company limited by guarantee,Non-govt company,13/04/2004,3997712,17482609,Amalgamated,ACCOMMODATION AND FOOD SERVICE,"B-202, Link Road, Satellite, Gujarat - 554076",ROC-AHMEDABAD
L35502GJ2000PLC555636,DEVELOPERS CONSULTANCY LIMITED,Private,Unlimited Company,Non-govt company,15/10/2000,40451591,22312666,Active,RETAIL TRADE,"C-303, Link Road, Whitefield, Gujarat - 477922",ROC-AHMEDABAD
U46763GJ2018OPC250877,HEALTHCARE DEVELOPERS TRADING LIMITED,Private,Unlimited Company,Non-govt company,25/12/2018,15812846,18701939,Active,CONSTRUCTION,"E-505, Link Road, Satellite, Gujarat - 481704",ROC-AHMEDABAD
L97333GJ2016OPC781668,INDIA CONSTRUCTIONS EXPORTS PRIVATE LIMITED,Private,Unlimited Company,State Govt company,24/08/2016,20636359,4305618,Active,FINANCIAL SERVICE ACTIVITIES,"A-101, Park Street, Whitefield, Gujarat - 556671",ROC-AHMEDABAD
U15013GJ2000PLC715490,DEVELOPERS LIMITED,One Person Company,Company limited by guarantee,State Govt company,15/05/2000,44556927,1144020,Under Liquidation,MANUFACTURING (TEXTILES),"C-303, Link Road, Borivali, Gujarat - 514992",ROC-AHMEDABAD
L29015GJ2001PTC643500,VENTURES PRIVATE LIMITED,One Person Company,Company limited by guarantee,Non-govt company,29/12/2001,10517581,22105930,Active,INFORMATION SERVICE ACTIVITIES,"B-202, Park Street, Adyar, Gujarat - 443424",ROC-AHMEDABAD
L86876GJ2016OPC882846,SYSTEMS MANUFACTURING INTERNATIONAL OPC PRIVATE LIMITED,Public,Company limited by guarantee,State Govt company,20/01/2016,41816603,10727636,Strike Off,WHOLESALE TRADE,"C-303, Anna Salai, Satellite, Gujarat - 440975",ROC-AHMEDABAD
L67174GJ2000OPC549438,SOLUTIONS INNOVATIONS GLOBAL PRIVATE LIMITED,Private,Company limited by guarantee,Non-govt company,04/05/2000,35676357,22298204,Amalgamated,MANUFACTURING (FOOD PRODUCTS),"E-505, MG Road, Borivali, Gujarat - 405648",ROC-AHMEDABAD
U77510GJ2013PTC796329,TEXTILES TECHNOLOGIES LIMITED,Private,Company limited by guarantee,State Govt company,13/06/2013,31819430,14967369,Strike Off,MANUFACTURING (TEXTILES),"A-101, Brigade Road, Andheri, Gujarat - 521527",ROC-AHMEDABAD
L52638GJ2022PTC102432,TECHNOLOGIES TEXTILES OPC PRIVATE LIMITED,Public,Unlimited Company,State Govt company,08/06/2022,3695693,5861703,Active,WHOLESALE TRADE,"C-303, Link Road, Satellite, Gujarat - 458172",ROC-AHMEDABAD
L45484GJ2002OPC663759,CAPITAL GLOBAL INVESTMENTS PRIVATE LIMITED,Public,Company limited by guarantee,State Govt company,11/02/2002,25374434,2030475,Dissolved,MANUFACTURING (CHEMICALS),"C-303, Brigade Road, Satellite, Gujarat - 403799",ROC-AHMEDABAD
U23357GJ2001OPC304046,ENTERPRISES CONSULTANCY PRIVATE LIMITED,One Person Company,Company limited by guarantee,Non-govt company,29/08/2001,26154912,24197265,Active,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES","D-404, Link Road, Andheri, Gujarat - 426038",ROC-AHMEDABAD
U12059GJ2023OPC682977,ENTERPRISES INVESTMENTS PRIVATE LIMITED,Private,Unlimited Company,State Govt company,29/06/2023,38481082,6716996,Under Liquidation,COMPUTER PROGRAMMING,"D-404, MG Road, Whitefield, Gujarat - 534772",ROC-AHMEDABAD
L49546GJ2003OPC314453,IMPORTS ENTERPRISES CORPORATIONS LIMITED,Public,Company limited by shares,State Govt company,14/11/2003,10289281,13684025,Strike Off,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES","C-303, Park Street, Whitefield, Gujarat - 534401",ROC-AHMEDABAD
U48063GJ2019OPC107958,ENTERPRISES EXPORTS CHEMICALS LIMITED,Private,Company limited by shares,Non-govt company,04/04/2019,27780028,21011813,Amalgamated,CONSTRUCTION,"B-202, Brigade Road, Borivali, Gujarat - 411906",ROC-AHMEDABAD
L52553GJ2017PTC866007,SYSTEMS OPC PRIVATE LIMITED,One Person Company,Company limited by guarantee,State Govt company,24/09/2017,47497313,10791900,Amalgamated,MANUFACTURING (TEXTILES),"D-404, Park Street, Borivali, Gujarat - 456263",ROC-AHMEDABAD
U50264GJ2007PLC419563,CONSTRUCTIONS FINANCE LIMITED,One Person Company,Unlimited Company,Non-govt company,11/04/2007,17747491,18690396,Under Liquidation,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES","B-202, Link Road, Satellite, Gujarat - 489960",ROC-AHMEDABAD
L95865GJ2013PTC776913,DEVELOPERS INVESTMENTS OPC PRIVATE LIMITED,Public,Company limited by guarantee,Non-govt company,24/11/2013,34518413,22057484,Active,WHOLESALE TRADE,"C-303, Link Road, Whitefield, Gujarat - 455193",ROC-AHMEDABAD
L43733GJ2000PLC807319,INNOVATIONS HEALTHCARE OPC PRIVATE LIMITED,One Person Company,Company limited by shares,Non-govt company,31/01/2000,38701681,8866575,Strike Off,MANUFACTURING (CHEMICALS),"A-101, Link Road, Satellite, Gujarat - 464262",ROC-AHMEDABAD
U63868GJ2004OPC244064,EXPORTS HEALTHCARE CONSTRUCTIONS PRIVATE LIMITED,One Person Company,Company limited by guarantee,State Govt company,02/06/2004,10803060,9234212,Under Liquidation,HUMAN HEALTH AND SOCIAL WORK,"D-404, Park Street, Whitefield, Gujarat - 536844",ROC-AHMEDABAD
L82460GJ2017PLC758328,INVESTMENTS PHARMA OPC PRIVATE LIMITED,One Person Company,Company limited by guarantee,State Govt company,11/04/2017,35143934,16762339,Active,REAL ESTATE ACTIVITIES,"A-101, Park Street, Andheri, Gujarat - 542692",ROC-AHMEDABAD
L61813GJ2002PTC578856,IMPORTS OPC PRIVATE LIMITED,One Person Company,Unlimited Company,State Govt company,01/03/2002,5161631,12880884,Active,WHOLESALE TRADE,"C-303, Brigade Road, Borivali, Gujarat - 431827",ROC-AHMEDABAD
L47310GJ2013PTC715618,EDUCATION LIMITED,Private,Unlimited Company,Non-govt company,30/03/2013,47693254,20620665,Active,INFORMATION SERVICE ACTIVITIES,"C-303, Anna Salai, Andheri, Gujarat - 467443",ROC-AHMEDABAD
L39005GJ2011PLC258056,VENTURES OPC PRIVATE LIMITED,One Person Company,Company limited by shares,State Govt company,19/02/2011,38666054,11395990,Strike Off,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,"B-202, Park Street, Adyar, Gujarat - 425381",ROC-AHMEDABAD
U49599GJ2009OPC171001,TEXTILES DEVELOPERS INDIA LIMITED,Private,Unlimited Company,State Govt company,31/07/2009,35166269,24810988,Active,FINANCIAL SERVICE ACTIVITIES,"B-202, MG Road, Andheri, Gujarat - 473062",ROC-AHMEDABAD
U47814GJ2010PLC551074,VENTURES PRIVATE LIMITED,One Person Company,Unlimited Company,State Govt company,17/10/2010,38699325,18626436,Strike Off,INFORMATION SERVICE ACTIVITIES,"A-101, Brigade Road, Whitefield, Gujarat - 461469",ROC-AHMEDABAD
U81592GJ2015PTC107018,IMPORTS LIMITED,Private,Company limited by shares,Non-govt company,07/01/2015,6138539,2920495,Strike Off,HUMAN HEALTH AND SOCIAL WORK,"A-101, MG Road, Borivali, Gujarat - 437676",ROC-AHMEDABAD
U29729GJ2019PLC869211,HEALTHCARE TECHNOLOGIES LIMITED,Public,Company limited by guarantee,Non-govt company,02/02/2019,42105314,23338814,Amalgamated,MANUFACTURING (TEXTILES),"B-202, Brigade Road, Whitefield, Gujarat - 553675",ROC-AHMEDABAD
L59821GJ2006PTC359089,CONSTRUCTIONS OPC PRIVATE LIMITED,Private,Company limited by shares,Non-govt company,17/08/2006,40282895,20766623,Under Liquidation,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES","D-404, MG Road, Andheri, Gujarat - 425861",ROC-AHMEDABAD
U73273GJ2018OPC529670,HEALTHCARE TECHNOLOGIES REALTY PRIVATE LIMITED,One Person Company,Unlimited Company,State Govt company,21/02/2018,36041170,24947291,Active,MANUFACTURING (TEXTILES),"E-505, Park Street, Satellite, Gujarat - 544686",ROC-AHMEDABAD
L35522GJ2001PTC162065,INTERNATIONAL SYSTEMS SOLUTIONS OPC PRIVATE LIMITED,Private,Unlimited Company,State Govt company,30/03/2001,17327103,14291070,Under Liquidation,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,"A-101, Link Road, Satellite, Gujarat - 403660",ROC-AHMEDABAD
L64369GJ2007PLC547571,TECHNOLOGIES EDUCATION TECH PRIVATE LIMITED,Private,Unlimited Company,Non-govt company,16/07/2007,29042729,4059998,Active,HUMAN HEALTH AND SOCIAL WORK,"E-505, MG Road, Borivali, Gujarat - 454185",ROC-AHMEDABAD
L80577GJ2002PLC952441,TRADING INDIA INTERNATIONAL LIMITED,Private,Company limited by guarantee,Non-govt company,19/10/2002,41714985,13230605,Strike Off,REAL ESTATE ACTIVITIES,"C-303, MG Road, Satellite, Gujarat - 449549",ROC-AHMEDABAD
U30274GJ2005OPC614533,FOODS MANUFACTURING CONSULTANCY PRIVATE LIMITED,Private,Company limited by shares,State Govt company,14/04/2005,33428105,21633308,Amalgamated,WHOLESALE TRADE,"B-202, Brigade Road, Satellite, Gujarat - 531325",ROC-AHMEDABAD
U30264GJ2018OPC608836,INTERNATIONAL PHARMA INNOVATIONS PRIVATE LIMITED,Private,Company limited by shares,Non-govt company,10/09/2018,33644337,16322036,Active,EDUCATION,"E-505, Anna Salai, Satellite, Gujarat - 548161",ROC-AHMEDABAD
U44077GJ2019PTC167325,INTERNATIONAL OPC PRIVATE LIMITED,Private,Unlimited Company,Non-govt company,10/04/2019,5078430,10478396,Active,FINANCIAL SERVICE ACTIVITIES,"C-303, Link Road, Borivali, Gujarat - 525894",ROC-AHMEDABAD
L11987GJ2024PLC191688,GLOBAL INNOVATIONS CONSULTANCY PRIVATE LIMITED,One Person Company,Unlimited Company,State Govt company,25/04/2024,34799456,9656637,Strike Off,MANUFACTURING (CHEMICALS),"E-505, Brigade Road, Borivali, Gujarat - 427117",ROC-AHMEDABAD
U32806GJ2008OPC282234,ENTERPRISES LIMITED,Private,Company limited by guarantee,Non-govt company,08/12/2008,2592970,15076586,Strike Off,EDUCATION,"A-101, Link Road, Borivali, Gujarat - 501136",ROC-AHMEDABAD
L74732GJ2016PLC877136,CONSULTANCY LIMITED,Private,Company limited by guarantee,Non-govt company,13/01/2016,9720726,9848930,Active,WHOLESALE TRADE,"C-303, Link Road, Borivali, Gujarat - 430913",ROC-AHMEDABAD
U88966GJ2018PTC625806,SOLUTIONS EXPORTS LIMITED,One Person Company,Company limited by shares,State Govt company,15/04/2018,2270676,11851600,Strike Off,WHOLESALE TRADE,"E-505, Park Street, Satellite, Gujarat - 461730",ROC-AHMEDABAD
U98110GJ2017PTC827890,EDUCATION SERVICES LIMITED,Private,Company limited by guarantee,Non-govt company,28/10/2017,112002,21677747,Amalgamated,CONSTRUCTION,"D-404, Park Street, Andheri, Gujarat - 538559",ROC-AHMEDABAD
L17318GJ2004PTC597902,VENTURES ENTERPRISES LIMITED,Public,Unlimited Company,Non-govt company,06/09/2004,32309656,5725281,Under Liquidation,FINANCIAL SERVICE ACTIVITIES,"A-101, Link Road, Adyar, Gujarat - 557828",ROC-AHMEDABAD
U77562GJ2024OPC873781,EDUCATION TEXTILES INVESTMENTS OPC PRIVATE LIMITED,One Person Company,Company limited by guarantee,State Govt company,06/11/2024,30213256,19633138,Amalgamated,INFORMATION SERVICE ACTIVITIES,"E-505, Link Road, Andheri, Gujarat - 412703",ROC-AHMEDABAD
U53897GJ2023PLC988720,INDIA CONSULTANCY REALTY OPC PRIVATE LIMITED,Private,Unlimited Company,State Govt company,29/12/2023,47128142,17916218,Active,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,"C-303, Anna Salai, Satellite, Gujarat - 415362",ROC-AHMEDABAD
U41437GJ2007OPC634166,CORPORATIONS CAPITAL IMPORTS LIMITED,Public,Company limited by guarantee,Non-govt company,28/12/2007,28550587,18143605,Dissolved,COMPUTER PROGRAMMING,"C-303, Anna Salai, Adyar, Gujarat - 490962",ROC-AHMEDABAD
U56501GJ2020OPC862484,PHARMA INNOVATIONS PRIVATE LIMITED,Private,Company limited by shares,Non-govt company,03/05/2020,773897,1731178,Active,EDUCATION,"C-303, Link Road, Satellite, Gujarat - 400212",ROC-AHMEDABAD
U76488GJ2018PTC775293,IMPORTS CAPITAL OPC PRIVATE LIMITED,Private,Company limited by guarantee,Non-govt company,07/09/2018,21928089,23099311,Active,REAL ESTATE ACTIVITIES,"C-303, Brigade Road, Adyar, Gujarat - 439148",ROC-AHMEDABAD
U84715GJ2012OPC299600,CAPITAL PRIVATE LIMITED,Private,Unlimited Company,Non-govt company,22/09/2012,33387132,6700615,Dissolved,HUMAN HEALTH AND SOCIAL WORK,"B-202, Park Street, Andheri, Gujarat - 432975",ROC-AHMEDABAD
U23268GJ2009PTC603191,IMPORTS CHEMICALS LIMITED,Private,Company limited by shares,Non-govt company,07/08/2009,12813477,13049365,Strike Off,EDUCATION,"D-404, MG Road, Borivali, Gujarat - 516572",ROC-AHMEDABAD
U31143GJ2017PTC250192,TRADING OPC PRIVATE LIMITED,Private,Company limited by guarantee,Non-govt company,22/10/2017,284170,17447347,Amalgamated,MANUFACTURING (TEXTILES),"B-202, MG Road, Whitefield, Gujarat - 489355",ROC-AHMEDABAD
L89693GJ2007PTC336163,CHEMICALS INTERNATIONAL LIMITED,Public,Unlimited Company,Non-govt company,25/06/2007,31535345,7383874,Amalgamated,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,"C-303, Anna Salai, Satellite, Gujarat - 416748",ROC-AHMEDABAD
L95199GJ2018OPC712947,ENTERPRISES GLOBAL PRIVATE LIMITED,Public,Company limited by guarantee,State Govt company,07/04/2018,30494281,20445460,Amalgamated,REAL ESTATE ACTIVITIES,"E-505, MG Road, Andheri, Gujarat - 550502",ROC-AHMEDABAD
L93938GJ2014PTC595807,CONSULTANCY PRIVATE LIMITED,One Person Company,Company limited by shares,State Govt company,10/06/2014,5504927,445404,Active,INFORMATION SERVICE ACTIVITIES,"E-505, Brigade Road, Satellite, Gujarat - 425183",ROC-AHMEDABAD
L60011GJ2015PTC490514,TEXTILES OPC PRIVATE LIMITED,Private,Unlimited Company,State Govt company,15/02/2015,2805636,2184887,Active,MANUFACTURING (CHEMICALS),"B-202, Park Street, Andheri, Gujarat - 414103",ROC-AHMEDABAD
L38834GJ2022OPC865156,IMPORTS OPC PRIVATE LIMITED,One Person Company,Company limited by guarantee,Non-govt company,23/12/2022,10978645,5593024,Under Liquidation,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,"D-404, Link Road, Andheri, Gujarat - 435222",ROC-AHMEDABAD
U81949GJ2018OPC105568,EDUCATION FOODS INDUSTRIES OPC PRIVATE LIMITED,One Person Company,Company limited by guarantee,Non-govt company,24/03/2018,39539727,1705708,Dissolved,RETAIL TRADE,"B-202, Link Road, Satellite, Gujarat - 414805",ROC-AHMEDABAD
U23151GJ2016PTC889213,SOLUTIONS GLOBAL OPC PRIVATE LIMITED,One Person Company,Company limited by guarantee,Non-govt company,05/05/2016,15923185,16232492,Active,INFORMATION SERVICE ACTIVITIES,"A-101, MG Road, Borivali, Gujarat - 477949",ROC-AHMEDABAD
L79448GJ2014PTC386264,HEALTHCARE INTERNATIONAL CORPORATIONS LIMITED,Private,Company limited by guarantee,State Govt company,06/09/2014,21979661,19353048,Strike Off,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,"A-101, Park Street, Borivali, Gujarat - 485755",ROC-AHMEDABAD
U79783GJ2019OPC450682,FOODS TECHNOLOGIES SYSTEMS LIMITED,One Person Company,Company limited by guarantee,State Govt company,06/01/2019,21076740,7527468,Amalgamated,CONSTRUCTION,"D-404, Brigade Road, Andheri, Gujarat - 480979",ROC-AHMEDABAD
U18616GJ2014PTC489701,REALTY LIMITED,One Person Company,Company limited by shares,Non-govt company,17/05/2014,38893409,3192609,Amalgamated,MANUFACTURING (TEXTILES),"B-202, MG Road, Borivali, Gujarat - 478532",ROC-AHMEDABAD
L77503GJ2002PTC269255,INVESTMENTS PRIVATE LIMITED,Private,Unlimited Company,Non-govt company,02/03/2002,1960365,6671312,Dissolved,MANUFACTURING (CHEMICALS),"E-505, Park Street, Satellite, Gujarat - 533599",ROC-AHMEDABAD
L65879GJ2007OPC708573,CHEMICALS TECH PRIVATE LIMITED,Private,Company limited by shares,Non-govt company,24/04/2007,15195242,24660180,Active,HUMAN HEALTH AND SOCIAL WORK,"B-202, Park Street, Adyar, Gujarat - 547445",ROC-AHMEDABAD
L61617GJ2013OPC957463,PHARMA FOODS LIMITED,One Person Company,Unlimited Company,State Govt company,29/10/2013,48909427,3555241,Under Liquidation,RETAIL TRADE,"E-505, Anna Salai, Whitefield, Gujarat - 494937",ROC-AHMEDABAD
U90498GJ2008OPC127979,EXPORTS PRIVATE LIMITED,Public,Company limited by shares,Non-govt company,19/04/2008,4263307,7147476,Active,HUMAN HEALTH AND SOCIAL WORK,"C-303, Brigade Road, Borivali, Gujarat - 465504",ROC-AHMEDABAD
U54796GJ2004PTC376066,TRADING LIMITED,Public,Unlimited Company,Non-govt company,21/05/2004,23736150,10271077,Strike Off,FINANCIAL SERVICE ACTIVITIES,"E-505, Park Street, Andheri, Gujarat - 550290",ROC-AHMEDABAD
L62808GJ2016PTC908340,GLOBAL ENTERPRISES OPC PRIVATE LIMITED,One Person Company,Unlimited Company,State Govt company,09/07/2016,22666225,13832633,Dissolved,MANUFACTURING (CHEMICALS),"A-101, Park Street, Satellite, Gujarat - 471033",ROC-AHMEDABAD
L78301GJ2004PLC478530,ENTERPRISES LIMITED,Public,Unlimited Company,Non-govt company,05/11/2004,24440119,20905443,Active,RETAIL TRADE,"A-101, MG Road, Adyar, Gujarat - 465541",ROC-AHMEDABAD
L71041GJ2013PTC551098,PHARMA OPC PRIVATE LIMITED,Private,Unlimited Company,State Govt company,06/02/2013,37323580,4448259,Dissolved,HUMAN HEALTH AND SOCIAL WORK,"D-404, Park Street, Whitefield, Gujarat - 501307",ROC-AHMEDABAD
L91302GJ2010OPC521418,EXPORTS SOLUTIONS OPC PRIVATE LIMITED,One Person Company,Company limited by shares,Non-govt company,22/06/2010,35018872,4656538,Amalgamated,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES","B-202, Link Road, Satellite, Gujarat - 530015",ROC-AHMEDABAD
U47970GJ2018OPC956443,VENTURES PRIVATE LIMITED,One Person Company,Company limited by guarantee,State Govt company,17/08/2018,47162180,17884134,Under Liquidation,RETAIL TRADE,"D-404, Link Road, Andheri, Gujarat - 460806",ROC-AHMEDABAD
U16358GJ2023PTC500270,EDUCATION TECHNOLOGIES PRIVATE LIMITED,Public,Company limited by guarantee,State Govt company,07/10/2023,6439045,10541045,Under Liquidation,CONSTRUCTION,"C-303, Brigade Road, Satellite, Gujarat - 407698",ROC-AHMEDABAD
U32600GJ2024PLC941558,FINANCE FOODS LIMITED,Public,Unlimited Company,Non-govt company,31/12/2024,4013017,15946963,Dissolved,RETAIL TRADE,"D-404, MG Road, Satellite, Gujarat - 539349",ROC-AHMEDABAD
U17708GJ2011PLC539154,INVESTMENTS TECH VENTURES OPC PRIVATE LIMITED,Private,Unlimited Company,State Govt company,12/03/2011,12924120,13599879,Under Liquidation,RETAIL TRADE,"D-404, Link Road, Andheri, Gujarat - 548916",ROC-AHMEDABAD
U17163GJ2001PTC767681,MANUFACTURING LIMITED,Public,Company limited by shares,Non-govt company,19/02/2001,28550142,10534597,Under Liquidation,RETAIL TRADE,"A-101, Link Road, Borivali, Gujarat - 477673",ROC-AHMEDABAD
L94312GJ2014PTC875533,INVESTMENTS INDUSTRIES FINANCE PRIVATE LIMITED,Private,Unlimited Company,State Govt company,20/01/2014,41320741,1581899,Under Liquidation,MANUFACTURING (CHEMICALS),"A-101, Park Street, Adyar, Gujarat - 498792",ROC-AHMEDABAD
L89983GJ2014PTC773498,GLOBAL OPC PRIVATE LIMITED,One Person Company,Company limited by shares,Non-govt company,10/12/2014,44595256,21428534,Amalgamated,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES","A-101, Brigade Road, Adyar, Gujarat - 409253",ROC-AHMEDABAD
U62104GJ2022PLC247363,TECHNOLOGIES VENTURES CORPORATIONS OPC PRIVATE LIMITED,One Person Company,Company limited by guarantee,State Govt company,17/01/2022,47796751,6688295,Active,ACCOMMODATION AND FOOD SERVICE,"E-505, Park Street, Whitefield, Gujarat - 453200",ROC-AHMEDABAD
U18286GJ2011PLC659971,TRADING PRIVATE LIMITED,One Person Company,Company limited by shares,Non-govt company,11/09/2011,7830768,4019120,Amalgamated,HUMAN HEALTH AND SOCIAL WORK,"C-303, MG Road, Whitefield, Gujarat - 457347",ROC-AHMEDABAD
L68327GJ2003PLC256728,INTERNATIONAL OPC PRIVATE LIMITED,Private,Company limited by guarantee,State Govt company,23/11/2003,12375366,11049591,Strike Off,ACCOMMODATION AND FOOD SERVICE,"D-404, Link Road, Adyar, Gujarat - 423245",ROC-AHMEDABAD
U22371GJ2015PTC111062,INDIA LIMITED,Private,Company limited by shares,Non-govt company,12/10/2015,12123299,1510641,Active,WHOLESALE TRADE,"D-404, MG Road, Borivali, Gujarat - 482551",ROC-AHMEDABAD
