CORPORATE_IDENTIFICATION_NUMBER,COMPANY_NAME,COMPANY_CLASS,COMPANY_CATEGORY,COMPANY_SUB_CATEGORY,DATE_OF_REGISTRATION,AUTHORIZED_CAPITAL,PAIDUP_CAPITAL,COMPANY_STATUS,PRINCIPAL_BUSINESS_ACTIVITY,REGISTERED_OFFICE_ADDRESS,ROC_CODE
L89643MH2006OPC506066,GLOBAL SYSTEMS REALTY OPC PRIVATE LIMITED,One Person Company,Unlimited Company,Non-govt company,03/09/2006,42937587,5529139,Active,FINANCIAL SERVICE ACTIVITIES,"C-303, MG Road, Borivali, Maharashtra - 492223",ROC-MUMBAI
L10829MH2006PTC252906,DEVELOPERS OPC PRIVATE LIMITED,Private,Company limited by guarantee,State Govt company,09/02/2006,12983017,207424,Strike Off,MANUFACTURING (FOOD PRODUCTS),"C-303, Anna Salai, Borivali, Maharashtra - 454256",ROC-MUMBAI
L48928MH2023OPC434841,CAPITAL OPC PRIVATE LIMITED,Private,Company limited by guarantee,State Govt company,07/08/2023,41263267,11177547,Active,REAL ESTATE ACTIVITIES,"B-202, Anna Salai, Andheri, Maharashtra - 502469",ROC-MUMBAI
U63212MH2006OPC178284,PHARMA CAPITAL SERVICES LIMITED,Private,Company limited by shares,State Govt company,25/07/2006,30051455,14370559,Amalgamated,FINANCIAL SERVICE ACTIVITIES,"C-303, Brigade Road, Borivali, Maharashtra - 453327",ROC-MUMBAI
U45898MH2012OPC216705,EXPORTS LIMITED,One Person Company,Company limited by guarantee,Non-govt company,04/03/2012,28318071,19799548,Active,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,"D-404, Park Street, Whitefield, Maharashtra - 457587",ROC-MUMBAI
U90348MH2012OPC321526,TEXTILES CORPORATIONS HEALTHCARE PRIVATE LIMITED,Private,Company limited by shares,State Govt company,12/08/2012,39743668,23953327,Dissolved,INFORMATION SERVICE ACTIVITIES,"D-404, Anna Salai, Adyar, Maharashtra - 484387",ROC-MUMBAI
L60564MH2006OPC755142,CONSTRUCTIONS MANUFACTURING SERVICES LIMITED,One Person Company,Unlimited Company,State Govt company,28/12/2006,2371078,8733340,Active,MANUFACTURING (TEXTILES),"D-404, Anna Salai, Whitefield, Maharashtra - 423455",ROC-MUMBAI
L15929MH2002PTC503325,INTERNATIONAL IMPORTS SYSTEMS OPC PRIVATE LIMITED,Private,Company limited by guarantee,Non-govt company,11/02/2002,22047278,22756056,Under Liquidation,EDUCATION,"E-505, Park Street, Whitefield, Maharashtra - 531513",ROC-MUMBAI
U16133MH2006PTC964566,IMPORTS SYSTEMS PRIVATE LIMITED,One Person Company,Unlimited Company,State Govt company,08/11/2006,31057551,1766541,Dissolved,EDUCATION,"D-404, Brigade Road, Borivali, Maharashtra - 425700",ROC-MUMBAI
U67340MH2017OPC955572,PHARMA OPC PRIVATE LIMITED,One Person Company,Company limited by guarantee,Non-govt company,26/10/2017,31047290,19858590,Under Liquidation,INFORMATION SERVICE ACTIVITIES,"B-202, Park Street, Adyar, Maharashtra - 483903",ROC-MUMBAI
L19494MH2022OPC326375,IMPORTS MANUFACTURING CONSULTANCY OPC PRIVATE LIMITED,Private,Unlimited Company,Non-govt company,08/03/2022,10514632,23227866,Amalgamated,FINANCIAL SERVICE ACTIVITIES,"C-303, Park Street, Satellite, Maharashtra - 461662",ROC-MUMBAI
U63014MH2014PTC135937,CAPITAL TECH PRIVATE LIMITED,One Person Company,Company limited by shares,State Govt company,14/07/2014,17823378,6606735,Active,COMPUTER PROGRAMMING,"C-303, MG Road, Whitefield, Maharashtra - 530717",ROC-MUMBAI
L60076MH2014PLC761922,INDIA INVESTMENTS DEVELOPERS OPC PRIVATE LIMITED,One Person Company,Unlimited Company,State Govt company,20/02/2014,36075104,22908391,Active,FINANCIAL SERVICE ACTIVITIES,"E-505, Link Road, Adyar, Maharashtra - 449567",ROC-MUMBAI
L36356MH2013PTC408822,CHEMICALS PRIVATE LIMITED,Public,Company limited by guarantee,Non-govt company,20/01/2013,30711768,11329952,Active,WHOLESALE TRADE,"C-303, Link Road, Whitefield, Maharashtra - 466870",ROC-MUMBAI
U13772MH2001OPC819723,CHEMICALS PRIVATE LIMITED,One Person Company,Unlimited Company,Non-govt company,10/02/2001,22394363,1288915,Dissolved,HUMAN HEALTH AND SOCIAL WORK,"B-202, Anna Salai, Andheri, Maharashtra - 465804",ROC-MUMBAI
U64728MH2018PLC598880,CORPORATIONS SYSTEMS GLOBAL OPC PRIVATE LIMITED,One Person Company,Company limited by guarantee,State Govt company,30/08/2018,20657040,5012406,Active,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,"A-101, Park Street, Whitefield, Maharashtra - 426723",ROC-MUMBAI
L32922MH2018OPC152479,VENTURES LIMITED,One Person Company,Company limited by guarantee,Non-govt company,04/01/2018,8999317,2638608,Dissolved,MANUFACTURING (FOOD PRODUCTS),"E-505, Brigade Road, Whitefield, Maharashtra - 540125",ROC-MUMBAI
L93115MH2006OPC262464,CONSTRUCTIONS INDIA IMPORTS PRIVATE LIMITED,Private,Company limited by shares,Non-govt company,20/09/2006,13787613,1684642,Active,HUMAN HEALTH AND SOCIAL WORK,"A-101, Link Road, Andheri, Maharashtra - 410183",ROC-MUMBAI
U95173MH2003PTC871383,INDIA IMPORTS OPC PRIVATE LIMITED,Private,Company limited by shares,Non-govt company,08/03/2003,31969422,20416695,Strike Off,WHOLESALE TRADE,"B-202, Anna Salai, Satellite, Maharashtra - 402484",ROC-MUMBAI
U47811MH2003PLC308941,TECH PHARMA SERVICES LIMITED,One Person Company,Unlimited Company,State Govt company,03/02/2003,28335235,6080995,Under Liquidation,WHOLESALE TRADE,"D-404, Brigade Road, Borivali, Maharashtra - 556172",ROC-MUMBAI
U91011MH2014PTC335503,TECHNOLOGIES SERVICES FINANCE PRIVATE LIMITED,Public,Company limited by guarantee,State Govt company,09/01/2014,32442120,3722780,Active,MANUFACTURING (TEXTILES),"E-505, Park Street, Borivali, Maharashtra - 433149",ROC-MUMBAI
U42720MH2015PLC392830,INVESTMENTS VENTURES LIMITED,One Person Company,Company limited by shares,State Govt company,28/01/2015,30868370,9307522,Strike Off,REAL ESTATE ACTIVITIES,"B-202, Anna Salai, Andheri, Maharashtra - 401287",ROC-MUMBAI
L73943MH2007OPC698941,FINANCE VENTURES OPC PRIVATE LIMITED,One Person Company,Company limited by guarantee,State Govt company,09/01/2007,13454086,9661088,Amalgamated,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES","C-303, Anna Salai, Borivali, Maharashtra - 517188",ROC-MUMBAI
U22788MH2001OPC621781,SYSTEMS INDIA LIMITED,Public,Unlimited Company,State Govt company,01/11/2001,249543,12686908,Strike Off,REAL ESTATE ACTIVITIES,"A-101, Park Street, Satellite, Maharashtra - 434911",ROC-MUMBAI
U26484MH2008PTC615793,DEVELOPERS ENTERPRISES OPC PRIVATE LIMITED,One Person Company,Unlimited Company,State Govt company,09/06/2008,22580360,11704786,Under Liquidation,CONSTRUCTION,"E-505, MG Road, Borivali, Maharashtra - 487599",ROC-MUMBAI
L71070MH2015PTC744225,TRADING INNOVATIONS EXPORTS PRIVATE LIMITED,Private,Unlimited Company,Non-govt company,29/11/2015,7385516,13276771,Active,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES","A-101, Link Road, Satellite, Maharashtra - 452628",ROC-MUMBAI
U53845MH2017PTC512551,GLOBAL SOLUTIONS LIMITED,Private,Unlimited Company,State Govt company,12/03/2017,12456074,4170491,Under Liquidation,ACCOMMODATION AND FOOD SERVICE,"E-505, MG Road, Adyar, Maharashtra - 479592",ROC-MUMBAI
U31741MH2022PLC162515,CORPORATIONS REALTY HEALTHCARE PRIVATE LIMITED,Public,Company limited by shares,Non-govt company,15/04/2022,16016122,20797431,Strike Off,COMPUTER PROGRAMMING,"B-202, Park Street, Adyar, Maharashtra - 547691",ROC-MUMBAI
U15635MH2017PLC912666,SERVICES LIMITED,Private,Company limited by guarantee,Non-govt company,07/09/2017,3598187,22510470,Amalgamated,ACCOMMODATION AND FOOD SERVICE,"D-404, Link Road, Borivali, Maharashtra - 407192",ROC-MUMBAI
L64689MH2007PLC894199,PHARMA INNOVATIONS OPC PRIVATE LIMITED,One Person Company,Company limited by guarantee,Non-govt company,03/09/2007,1872625,22450092,Dissolved,CONSTRUCTION,"E-505, Brigade Road, Adyar, Maharashtra - 452573",ROC-MUMBAI
L83813MH2023PLC423031,INDIA LIMITED,Public,Company limited by shares,Non-govt company,06/01/2023,16165197,10688947,Under Liquidation,EDUCATION,"C-303, Brigade Road, Satellite, Maharashtra - 466808",ROC-MUMBAI
L57711MH2010PLC281804,HEALTHCARE LIMITED,One Person Company,Company limited by guarantee,Non-govt company,04/05/2010,15669267,9917636,Active,HUMAN HEALTH AND SOCIAL WORK,"B-202, Park Street, Andheri, Maharashtra - 551330",ROC-MUMBAI
U22721MH2006PLC892972,SERVICES PRIVATE LIMITED,Private,Company limited by shares,Non-govt company,24/04/2006,2464466,10982694,Strike Off,RETAIL TRADE,"B-202, Park Street, Satellite, Maharashtra - 461189",ROC-MUMBAI
L89202MH2013PTC503400,EDUCATION INTERNATIONAL PRIVATE LIMITED,Private,Company limited by guarantee,State Govt company,27/09/2013,26736079,23441435,Amalgamated,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES","B-202, Anna Salai, Adyar, Maharashtra - 475409",ROC-MUMBAI
L94016MH2005PLC936056,SOLUTIONS LIMITED,One Person Company,Company limited by shares,State Govt company,11/05/2005,33029072,18896265,Active,HUMAN HEALTH AND SOCIAL WORK,"B-202, Park Street, Andheri, Maharashtra - 464077",ROC-MUMBAI
L16934MH2001PTC854938,INNOVATIONS PRIVATE LIMITED,Private,Company limited by shares,Non-govt company,15/12/2001,33092638,9253002,Dissolved,MANUFACTURING (TEXTILES),"B-202, Link Road, Borivali, Maharashtra - 502601",ROC-MUMBAI
U65753MH2006OPC498206,FINANCE SYSTEMS MANUFACTURING PRIVATE LIMITED,One Person Company,Unlimited Company,State Govt company,19/11/2006,8247129,3064784,Active,HUMAN HEALTH AND SOCIAL WORK,"E-505, Link Road, Whitefield, Maharashtra - 465927",ROC-MUMBAI
U49946MH2010OPC922685,CHEMICALS DEVELOPERS OPC PRIVATE LIMITED,Public,Company limited by shares,State Govt company,05/08/2010,25846665,14102280,Active,COMPUTER PROGRAMMING,"D-404, Anna Salai, Satellite, Maharashtra - 457159",ROC-MUMBAI
U56440MH2006PLC756137,CHEMICALS OPC PRIVATE LIMITED,Public,Company limited by guarantee,Non-govt company,23/10/2006,8897526,22680722,Dissolved,REAL ESTATE ACTIVITIES,"D-404, Link Road, Satellite, Maharashtra - 488475",ROC-MUMBAI
L13261MH2023PTC142916,REALTY PRIVATE LIMITED,One Person Company,Company limited by guarantee,State Govt company,19/04/2023,24070114,9383592,Dissolved,HUMAN HEALTH AND SOCIAL WORK,"C-303, Anna Salai, Whitefield, Maharashtra - 520419",ROC-MUMBAI
U91288MH2006PTC249368,FOODS MANUFACTURING PRIVATE LIMITED,Public,Unlimited Company,State Govt company,09/12/2006,44954306,16279111,Dissolved,CONSTRUCTION,"E-505, MG Road, Borivali, Maharashtra - 495860",ROC-MUMBAI
L47629MH2008PTC266713,ENTERPRISES OPC PRIVATE LIMITED,Public,Company limited by guarantee,Non-govt company,17/08/2008,10415351,4705192,Strike Off,COMPUTER PROGRAMMING,"C-303, Link Road, Whitefield, Maharashtra - 490995",ROC-MUMBAI
L36986MH2019PTC281443,EDUCATION OPC PRIVATE LIMITED,Public,Company limited by guarantee,State Govt company,09/01/2019,1622020,24563264,Amalgamated,FINANCIAL SERVICE ACTIVITIES,"A-101, Anna Salai, Satellite, Maharashtra - 485561",ROC-MUMBAI
L96029MH2014OPC573518,INDUSTRIES LIMITED,Private,Company limited by guarantee,State Govt company,27/07/2014,13664023,16945831,Amalgamated,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES","A-101, Brigade Road, Andheri, Maharashtra - 429194",ROC-MUMBAI
U63141MH2020PTC102544,CONSTRUCTIONS EXPORTS PRIVATE LIMITED,Public,Unlimited Company,Non-govt company,26/10/2020,18097650,22701711,Under Liquidation,COMPUTER PROGRAMMING,"B-202, Anna Salai, Andheri, Maharashtra - 432607",ROC-MUMBAI
U11356MH2014OPC756685,CORPORATIONS EDUCATION TECHNOLOGIES PRIVATE LIMITED,One Person Company,Unlimited Company,Non-govt company,16/10/2014,13400795,22373070,Active,EDUCATION,"A-101, Brigade Road, Borivali, Maharashtra - 490345",ROC-MUMBAI
L51353MH2002OPC407059,TEXTILES OPC PRIVATE LIMITED,Public,Unlimited Company,State Govt company,24/10/2002,11010978,5393402,Under Liquidation,FINANCIAL SERVICE ACTIVITIES,"E-505, Brigade Road, Whitefield, Maharashtra - 556424",ROC-MUMBAI
L16305MH2001PLC603291,SOLUTIONS TRADING CORPORATIONS OPC PRIVATE LIMITED,Public,Company limited by shares,State Govt company,08/12/2001,19368081,22854465,Strike Off,INFORMATION SERVICE ACTIVITIES,"D-404, Brigade Road, Borivali, Maharashtra - 534339",ROC-MUMBAI
U53063MH2024PTC382232,SYSTEMS ENTERPRISES INNOVATIONS OPC PRIVATE LIMITED,Public,Unlimited Company,State Govt company,26/09/2024,40702582,21171393,Strike Off,MANUFACTURING (TEXTILES),"E-505, Anna Salai, Borivali, Maharashtra - 465330",ROC-MUMBAI
U65495MH2017PTC982467,TECH PRIVATE LIMITED,One Person Company,Company limited by shares,Non-govt company,01/09/2017,30999788,22071509,Dissolved,MANUFACTURING (FOOD PRODUCTS),"D-404, Park Street, Satellite, Maharashtra - 448817",ROC-MUMBAI
U11948MH2017PLC133400,VENTURES TECH PRIVATE LIMITED,Private,Company limited by shares,State Govt company,23/01/2017,46042686,9261947,Active,INFORMATION SERVICE ACTIVITIES,"B-202, Park Street, Borivali, Maharashtra - 441585",ROC-MUMBAI
L21182MH2002PTC322857,VENTURES TECH GLOBAL PRIVATE LIMITED,Public,Unlimited Company,State Govt company,13/06/2002,41118469,10456110,Under Liquidation,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,"A-101, Link Road, Satellite, Maharashtra - 414961",ROC-MUMBAI
U53407MH2006OPC366749,SERVICES LIMITED,Public,Unlimited Company,Non-govt company,04/05/2006,18102362,12370404,Dissolved,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,"C-303, Anna Salai, Andheri, Maharashtra - 532941",ROC-MUMBAI
U67976MH2003OPC789847,REALTY INVESTMENTS LIMITED,Public,Company limited by guarantee,State Govt company,20/11/2003,4381245,17196388,Strike Off,MANUFACTURING (CHEMICALS),"B-202, Anna Salai, Borivali, Maharashtra - 522441",ROC-MUMBAI
U30025MH2014PLC333606,ENTERPRISES PRIVATE LIMITED,Public,Company limited by guarantee,State Govt company,03/01/2014,18748730,4825884,Dissolved,FINANCIAL SERVICE ACTIVITIES,"D-404, MG Road, Andheri, Maharashtra - 458529",ROC-MUMBAI
U72655MH2016PTC457025,EXPORTS OPC PRIVATE LIMITED,One Person Company,Company limited by shares,Non-govt company,02/09/2016,49760451,1062734,Dissolved,INFORMATION SERVICE ACTIVITIES,"D-404, Brigade Road, Whitefield, Maharashtra - 439413",ROC-MUMBAI
L27572MH2004PTC126408,PHARMA INDUSTRIES PRIVATE LIMITED,Private,Company limited by shares,State Govt company,18/07/2004,46689315,2773945,Strike Off,HUMAN HEALTH AND SOCIAL WORK,"E-505, Link Road, Borivali, Maharashtra - 549031",ROC-MUMBAI
L96844MH2015PTC223859,REALTY MANUFACTURING PRIVATE LIMITED,Private,Company limited by guarantee,State Govt company,10/04/2015,857877,16444156,Active,MANUFACTURING (TEXTILES),"D-404, Link Road, Borivali, Maharashtra - 491713",ROC-MUMBAI
U81880MH2022PTC921017,SOLUTIONS PRIVATE LIMITED,One Person Company,Company limited by guarantee,State Govt company,17/05/2022,34590092,7294831,Active,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES","E-505, Park Street, Adyar, Maharashtra - 421866",ROC-MUMBAI
U19415MH2012OPC746858,SERVICES EDUCATION PRIVATE LIMITED,One Person Company,Company limited by guarantee,State Govt company,18/05/2012,44517596,10794871,Active,CONSTRUCTION,"A-101, MG Road, Whitefield, Maharashtra - 456465",ROC-MUMBAI
U59251MH2021PTC989741,REALTY PRIVATE LIMITED,Public,Company limited by shares,State Govt company,02/07/2021,42335693,4462070,Strike Off,ACCOMMODATION AND FOOD SERVICE,"B-202, Park Street, Borivali, Maharashtra - 511391",ROC-MUMBAI
U76826MH2018OPC355744,REALTY OPC PRIVATE LIMITED,Public,Company limited by shares,Non-govt company,31/03/2018,2239645,19974073,Active,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,"B-202, Link Road, Whitefield, Maharashtra - 488727",ROC-MUMBAI
L26791MH2024OPC952664,ENTERPRISES TECH LIMITED,Private,Company limited by shares,State Govt company,05/03/2024,32356835,11853866,Under Liquidation,MANUFACTURING (FOOD PRODUCTS),"D-404, Link Road, Andheri, Maharashtra - 423378",ROC-MUMBAI
U64093MH2021OPC212375,HEALTHCARE OPC PRIVATE LIMITED,One Person Company,Unlimited Company,State Govt company,12/02/2021,7715486,21318959,Amalgamated,ACCOMMODATION AND FOOD SERVICE,"D-404, Park Street, Whitefield, Maharashtra - 497650",ROC-MUMBAI
L78825MH2005PTC867666,FINANCE OPC PRIVATE LIMITED,Private,Company limited by shares,Non-govt company,04/07/2005,31961803,1092780,Amalgamated,MANUFACTURING (FOOD PRODUCTS),"C-303, Anna Salai, Adyar, Maharashtra - 466489",ROC-MUMBAI
L68093MH2007PTC466067,CAPITAL EDUCATION VENTURES PRIVATE LIMITED,Private,Company limited by shares,Non-govt company,26/04/2007,640652,22699646,Strike Off,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,"E-505, Brigade Road, Whitefield, Maharashtra - 415630",ROC-MUMBAI
L11799MH2012PTC674618,TRADING FINANCE OPC PRIVATE LIMITED,Public,Company limited by shares,State Govt company,29/03/2012,6284235,21773728,Amalgamated,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES","D-404, MG Road, Whitefield, Maharashtra - 518818",ROC-MUMBAI
U29386MH2016OPC354148,CAPITAL EDUCATION FOODS PRIVATE LIMITED,Public,Unlimited Company,Non-govt company,10/06/2016,22619634,24179917,Dissolved,RETAIL TRADE,"D-404, Park Street, Borivali, Maharashtra - 508179",ROC-MUMBAI
U69884MH2008OPC232261,TEXTILES OPC PRIVATE LIMITED,Public,Company limited by guarantee,Non-govt company,10/03/2008,19723342,23722618,Active,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,"D-404, MG Road, Borivali, Maharashtra - 426968",ROC-MUMBAI
U24430MH2009PTC428654,VENTURES EXPORTS LIMITED,Public,Unlimited Company,Non-govt company,10/01/2009,22044278,8507793,Dissolved,MANUFACTURING (FOOD PRODUCTS),"B-202, Park Street, Andheri, Maharashtra - 445151",ROC-MUMBAI
U25955MH2010PLC341211,GLOBAL CONSULTANCY CAPITAL OPC PRIVATE LIMITED,Private,Unlimited Company,State Govt company,16/11/2010,49076218,4375011,Amalgamated,CONSTRUCTION,"E-505, Park Street, Whitefield, Maharashtra - 517659",ROC-MUMBAI
U77673MH2015OPC719979,SERVICES INDIA CHEMICALS LIMITED,Private,Unlimited Company,State Govt company,08/09/2015,16198296,23355720,Strike Off,MANUFACTURING (CHEMICALS),"E-505, Brigade Road, Adyar, Maharashtra - 449432",ROC-MUMBAI
L15285MH2021OPC823868,TECHNOLOGIES CONSULTANCY GLOBAL OPC PRIVATE LIMITED,One Person Company,Company limited by guarantee,State Govt company,03/09/2021,31473956,3645793,Under Liquidation,INFORMATION SERVICE ACTIVITIES,"C-303, MG Road, Adyar, Maharashtra - 542705",ROC-MUMBAI
L30645MH2006PTC565492,INNOVATIONS TECH TECHNOLOGIES OPC PRIVATE LIMITED,Public,Company limited by shares,Non-govt company,01/01/2006,45350105,7918121,Under Liquidation,CONSTRUCTION,"B-202, Anna Salai, Borivali, Maharashtra - 456837",ROC-MUMBAI
U87585MH2016PLC469709,CONSULTANCY SERVICES PRIVATE LIMITED,Private,Company limited by shares,Non-govt company,18/05/2016,2965302,18337977,Strike Off,REAL ESTATE ACTIVITIES,"A-101, Brigade Road, Whitefield, Maharashtra - 495312",ROC-MUMBAI
L76158MH2005PLC434567,PHARMA TECH DEVELOPERS LIMITED,Public,Company limited by shares,Non-govt company,23/12/2005,7840400,21848264,Under Liquidation,MANUFACTURING (FOOD PRODUCTS),"D-404, Link Road, Adyar, Maharashtra - 539591",ROC-MUMBAI
U42658MH2020OPC187959,INTERNATIONAL LIMITED,Public,Unlimited Company,Non-govt company,22/10/2020,37382820,15505654,Dissolved,ACCOMMODATION AND FOOD SERVICE,"D-404, Park Street, Andheri, Maharashtra - 463033",ROC-MUMBAI
U14778MH2022PLC687012,CORPORATIONS LIMITED,Private,Company limited by guarantee,State Govt company,02/02/2022,38688730,22677965,Active,MANUFACTURING (CHEMICALS),"E-505, Park Street, Borivali, Maharashtra - 469381",ROC-MUMBAI
U35546MH2004PLC149663,REALTY INDUSTRIES SERVICES OPC PRIVATE LIMITED,Private,Unlimited Company,State Govt company,22/11/2004,29832483,24193984,Active,FINANCIAL SERVICE ACTIVITIES,"B-202, MG Road, Borivali, Maharashtra - 482632",ROC-MUMBAI
U93965MH2019OPC686944,IMPORTS INDIA LIMITED,Private,Unlimited Company,State Govt company,31/08/2019,31620036,20457333,Active,INFORMATION SERVICE ACTIVITIES,"C-303, Anna Salai, Satellite, Maharashtra - 430433",ROC-MUMBAI
U52338MH2000PLC991628,CONSTRUCTIONS OPC PRIVATE LIMITED,Public,Unlimited Company,Non-govt company,20/07/2000,27886563,8148351,Under Liquidation,HUMAN HEALTH AND SOCIAL WORK,"B-202, Brigade Road, Andheri, Maharashtra - 446497",ROC-MUMBAI
U37534MH2005PTC921374,ENTERPRISES PRIVATE LIMITED,Private,Company limited by shares,State Govt company,20/07/2005,501707,16298223,Amalgamated,EDUCATION,"D-404, Park Street, Borivali, Maharashtra - 510455",ROC-MUMBAI
L57801MH2009PLC956325,SOLUTIONS VENTURES PRIVATE LIMITED,Private,Unlimited Company,Non-govt company,23/10/2009,12609634,10187937,Under Liquidation,WHOLESALE TRADE,"A-101, Link Road, Whitefield, Maharashtra - 408921",ROC-MUMBAI
L65520MH2011PLC142818,VENTURES INTERNATIONAL PRIVATE LIMITED,Private,Company limited by shares,Non-govt company,09/11/2011,14630551,16895826,Active,INFORMATION SERVICE ACTIVITIES,"B-202, Brigade Road, Adyar, Maharashtra - 419090",ROC-MUMBAI
L45216MH2017PLC641815,ENTERPRISES EDUCATION INDUSTRIES PRIVATE LIMITED,One Person Company,Company limited by guarantee,State Govt company,21/02/2017,31371288,12312026,Strike Off,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES","D-404, MG Road, Adyar, Maharashtra - 420226",ROC-MUMBAI
U96260MH2007OPC495790,CHEMICALS SERVICES SOLUTIONS OPC PRIVATE LIMITED,One Person Company,Company limited by shares,Non-govt company,22/07/2007,36086942,12033883,Strike Off,CONSTRUCTION,"B-202, Anna Salai, Adyar, Maharashtra - 479540",ROC-MUMBAI
U71873MH2021PLC752718,CONSULTANCY PRIVATE LIMITED,Private,Company limited by shares,Non-govt company,03/10/2021,12097569,19422156,Dissolved,HUMAN HEALTH AND SOCIAL WORK,"B-202, Link Road, Satellite, Maharashtra - 499494",ROC-MUMBAI
U90712MH2001PLC880867,INDIA EXPORTS PHARMA LIMITED,Private,Unlimited Company,Non-govt company,29/08/2001,11320367,23402117,Strike Off,INFORMATION SERVICE ACTIVITIES,"C-303, Brigade Road, Adyar, Maharashtra - 433796",ROC-MUMBAI
L80322MH2013PLC711590,DEVELOPERS MANUFACTURING OPC PRIVATE LIMITED,Public,Company limited by guarantee,Non-govt company,18/03/2013,11680871,19724347,Amalgamated,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,"D-404, Brigade Road, Whitefield, Maharashtra - 454264",ROC-MUMBAI
L51935MH2024OPC566203,CHEMICALS FINANCE LIMITED,Public,Company limited by guarantee,Non-govt company,01/03/2024,27410106,6976847,Active,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES","C-303, Link Road, Adyar, Maharashtra - 518025",ROC-MUMBAI
L33625MH2007PTC684701,CONSULTANCY CHEMICALS CORPORATIONS LIMITED,Public,Unlimited Company,State Govt company,05/11/2007,45930105,21923749,Dissolved,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES","C-303, Link Road, Borivali, Maharashtra - 420944",ROC-MUMBAI
L91115MH2009OPC918954,CAPITAL REALTY INVESTMENTS PRIVATE LIMITED,Public,Company limited by guarantee,Non-govt company,03/02/2009,11424573,6992175,Active,EDUCATION,"A-101, MG Road, Andheri, Maharashtra - 492137",ROC-MUMBAI
U83750MH2003OPC572684,SYSTEMS SOLUTIONS INNOVATIONS LIMITED,Private,Company limited by guarantee,State Govt company,12/10/2003,17389979,9529332,Amalgamated,ACCOMMODATION AND FOOD SERVICE,"D-404, MG Road, Andheri, Maharashtra - 401618",ROC-MUMBAI
L63367MH2000PTC616550,TECHNOLOGIES PRIVATE LIMITED,One Person Company,Company limited by guarantee,State Govt company,30/12/2000,46862839,8613235,Active,HUMAN HEALTH AND SOCIAL WORK,"D-404, Link Road, Andheri, Maharashtra - 463287",ROC-MUMBAI
U29061MH2011PLC367757,TRADING PHARMA LIMITED,Public,Company limited by guarantee,Non-govt company,11/05/2011,13299174,17001257,Dissolved,RETAIL TRADE,"C-303, Brigade Road, Satellite, Maharashtra - 404648",ROC-MUMBAI
U90291MH2001PTC365305,CONSULTANCY EDUCATION PRIVATE LIMITED,Public,Unlimited Company,Non-govt company,05/08/2001,31566744,17560984,Strike Off,HUMAN HEALTH AND SOCIAL WORK,"D-404, MG Road, Adyar, Maharashtra - 517624",ROC-MUMBAI
U25198MH2013OPC551431,FINANCE SERVICES OPC PRIVATE LIMITED,One Person Company,Company limited by shares,Non-govt company,17/01/2013,45344321,13810722,Active,ACCOMMODATION AND FOOD SERVICE,"C-303, Link Road, Andheri, Maharashtra - 513718",ROC-MUMBAI
L79545MH2005PLC855385,SYSTEMS LIMITED,Private,Company limited by shares,Non-govt company,19/06/2005,25638270,23359579,Strike Off,REAL ESTATE ACTIVITIES,"B-202, Brigade Road, Andheri, Maharashtra - 500896",ROC-MUMBAI
U12719MH2021PLC880131,SYSTEMS TRADING CONSULTANCY PRIVATE LIMITED,One Person Company,Company limited by shares,Non-govt company,05/09/2021,3777394,18248566,Amalgamated,RETAIL TRADE,"A-101, Brigade Road, Whitefield, Maharashtra - 446559",ROC-MUMBAI
L14808MH2006PTC245363,CAPITAL FOODS OPC PRIVATE LIMITED,Private,Company limited by shares,Non-govt company,02/09/2006,4944483,18293077,Amalgamated,WHOLESALE TRADE,"C-303, MG Road, Adyar, Maharashtra - 482469",ROC-MUMBAI
L85528MH2001OPC819645,GLOBAL FOODS PRIVATE LIMITED,One Person Company,Unlimited Company,Non-govt company,20/01/2001,45282474,22879310,Amalgamated,FINANCIAL SERVICE ACTIVITIES,"C-303, Link Road, Adyar, Maharashtra - 434889",ROC-MUMBAI
U80536MH2013OPC583083,TECHNOLOGIES OPC PRIVATE LIMITED,One Person Company,Unlimited Company,State Govt company,03/04/2013,2476359,7745148,Active,WHOLESALE TRADE,"D-404, Brigade Road, Andheri, Maharashtra - 519422",ROC-MUMBAI
